taxid,taxname
1678,Bifidobacterium
561,Escherichia
816,Bacteroides
1301,Streptococcus
1279,Staphylococcus
375288,Parabacteroides
32207,Rothia
102106,Collinsella
1378,Gemella
572511,Blautia
53335,Pantoea
40544,Sutterella
292632,Subdoligranulum
838,Prevotella
1730,Eubacterium
33024,Phascolarctobacterium
33042,Coprococcus
216851,Faecalibacterium
239759,Alistipes
1485,Clostridium
1263,Ruminococcus
841,Roseburia
189330,Dorea
544,Citrobacter
397864,Barnesiella
283168,Odoribacter
35832,Bilophila
872,Desulfovibrio
244127,Anaerotruncus
459786,Oscillibacter
1348911,Coprobacter
207244,Anaerostipes
239934,Akkermansia
830,Butyrivibrio
61170,Holdemania
135858,Catenibacterium
447020,Adlercreutzia
52225,Mitsuokella
940557,Granulicella
724,Haemophilus
29465,Veillonella
160674,Raoultella
1017280,Pseudoflavonifractor
906,Megasphaera
283,Comamonas
836,Porphyromonas
1578,Lactobacillus
117563,Granulicatella
84111,Eggerthella
1654,Actinomyces
150022,Finegoldia
194,Campylobacter
946234,Flavonifractor
1357,Lactococcus
133925,Olsenella
577310,Parasutterella
1350,Enterococcus
162289,Peptoniphilus
1380,Atopobium
184869,Varibaculum
2172,Methanobrevibacter
39948,Dialister
577309,Paraprevotella
84567,Pedobacter
191303,Turicibacter
644652,Gordonibacter
2316,Methanosphaera
165779,Anaerococcus
1696,Brevibacterium
1716,Corynebacterium
713,Actinobacillus
104264,Cellulophaga
846,Oxalobacter
416916,Aggregatibacter
100883,Coprobacillus
158846,Megamonas
248744,Marvinbryantia
84108,Slackia
1298,Deinococcus
574697,Butyricimonas
848,Fusobacterium
583,Proteus
46255,Weissella
904,Acidaminococcus
1257,Peptostreptococcus
69965,Macrococcus
547,Enterobacter
1253,Pediococcus
1033,Afipia
1243,Leuconostoc
1743,Propionibacterium
123375,Solobacterium
482,Neisseria
265975,Oribacterium
196082,Parascardovia
1213720,Stomatobaculum
196081,Scardovia
47670,Lautropia
543311,Parvimonas
156454,Anaeroglobus
66831,Facklamia
570,Klebsiella
