taxid,|,taxname,|,lineage,,,,,,,,,,
1678,|,Bifidobacterium,|,1678,31953,85004,1760,201174,1783272,2,131567,,,
561,|,Escherichia,|,561,543,91347,1236,1224,3379134,2,131567,,,
816,|,Bacteroides,|,816,815,171549,200643,976,68336,1783270,3379134,2,131567,
1301,|,Streptococcus,|,1301,1300,186826,91061,1239,1783272,2,131567,,,
1279,|,Staphylococcus,|,1279,90964,1385,91061,1239,1783272,2,131567,,,
375288,|,Parabacteroides,|,375288,2005525,171549,200643,976,68336,1783270,3379134,2,131567,
32207,|,Rothia,|,32207,1268,85006,1760,201174,1783272,2,131567,,,
102106,|,Collinsella,|,102106,84107,84999,84998,201174,1783272,2,131567,,,
1378,|,Gemella,|,1378,539738,1385,91061,1239,1783272,2,131567,,,
572511,|,Blautia,|,572511,186803,3085636,186801,1239,1783272,2,131567,,,
53335,|,Pantoea,|,53335,1903409,91347,1236,1224,3379134,2,131567,,,
40544,|,Sutterella,|,40544,995019,80840,28216,1224,3379134,2,131567,,,
292632,|,Subdoligranulum,|,292632,216572,186802,186801,1239,1783272,2,131567,,,
838,|,Prevotella,|,838,171552,171549,200643,976,68336,1783270,3379134,2,131567,
1730,|,Eubacterium,|,1730,186806,186802,186801,1239,1783272,2,131567,,,
33024,|,Phascolarctobacterium,|,33024,909930,1843488,909932,1239,1783272,2,131567,,,
33042,|,Coprococcus,|,33042,186803,3085636,186801,1239,1783272,2,131567,,,
216851,|,Faecalibacterium,|,216851,216572,186802,186801,1239,1783272,2,131567,,,
239759,|,Alistipes,|,239759,171550,171549,200643,976,68336,1783270,3379134,2,131567,
1485,|,Clostridium,|,1485,31979,186802,186801,1239,1783272,2,131567,,,
1263,|,Ruminococcus,|,1263,216572,186802,186801,1239,1783272,2,131567,,,
841,|,Roseburia,|,841,186803,3085636,186801,1239,1783272,2,131567,,,
189330,|,Dorea,|,189330,186803,3085636,186801,1239,1783272,2,131567,,,
544,|,Citrobacter,|,544,543,91347,1236,1224,3379134,2,131567,,,
397864,|,Barnesiella,|,397864,2005519,171549,200643,976,68336,1783270,3379134,2,131567,
283168,|,Odoribacter,|,283168,1853231,171549,200643,976,68336,1783270,3379134,2,131567,
35832,|,Bilophila,|,35832,194924,213115,3031449,200940,3379134,2,131567,,,
872,|,Desulfovibrio,|,872,194924,213115,3031449,200940,3379134,2,131567,,,
244127,|,Anaerotruncus,|,244127,216572,186802,186801,1239,1783272,2,131567,,,
459786,|,Oscillibacter,|,459786,216572,186802,186801,1239,1783272,2,131567,,,
1348911,|,Coprobacter,|,1348911,2005519,171549,200643,976,68336,1783270,3379134,2,131567,
207244,|,Anaerostipes,|,207244,186803,3085636,186801,1239,1783272,2,131567,,,
239934,|,Akkermansia,|,239934,1647988,48461,203494,74201,1783257,3379134,2,131567,,
830,|,Butyrivibrio,|,830,186803,3085636,186801,1239,1783272,2,131567,,,
61170,|,Holdemania,|,61170,128827,526525,526524,1239,1783272,2,131567,,,
135858,|,Catenibacterium,|,135858,2810280,526525,526524,1239,1783272,2,131567,,,
447020,|,Adlercreutzia,|,447020,1643826,1643822,84998,201174,1783272,2,131567,,,
52225,|,Mitsuokella,|,52225,1843491,909929,909932,1239,1783272,2,131567,,,
940557,|,Granulicella,|,940557,204434,204433,204432,57723,3379134,2,131567,,,
724,|,Haemophilus,|,724,712,135625,1236,1224,3379134,2,131567,,,
29465,|,Veillonella,|,29465,31977,1843489,909932,1239,1783272,2,131567,,,
160674,|,Raoultella,|,160674,2890311,543,91347,1236,1224,3379134,2,131567,,
1017280,|,Pseudoflavonifractor,|,1017280,216572,186802,186801,1239,1783272,2,131567,,,
906,|,Megasphaera,|,906,31977,1843489,909932,1239,1783272,2,131567,,,
283,|,Comamonas,|,283,80864,80840,28216,1224,3379134,2,131567,,,
836,|,Porphyromonas,|,836,171551,171549,200643,976,68336,1783270,3379134,2,131567,
1578,|,Lactobacillus,|,1578,33958,186826,91061,1239,1783272,2,131567,,,
117563,|,Granulicatella,|,117563,186828,186826,91061,1239,1783272,2,131567,,,
84111,|,Eggerthella,|,84111,1643826,1643822,84998,201174,1783272,2,131567,,,
1654,|,Actinomyces,|,1654,2049,2037,1760,201174,1783272,2,131567,,,
150022,|,Finegoldia,|,150022,1570339,1737405,1737404,1239,1783272,2,131567,,,
194,|,Campylobacter,|,194,72294,213849,3031852,29547,3379134,2,131567,,,
946234,|,Flavonifractor,|,946234,216572,186802,186801,1239,1783272,2,131567,,,
1357,|,Lactococcus,|,1357,1300,186826,91061,1239,1783272,2,131567,,,
133925,|,Olsenella,|,133925,1643824,84999,84998,201174,1783272,2,131567,,,
577310,|,Parasutterella,|,577310,995019,80840,28216,1224,3379134,2,131567,,,
1350,|,Enterococcus,|,1350,81852,186826,91061,1239,1783272,2,131567,,,
162289,|,Peptoniphilus,|,162289,1570339,1737405,1737404,1239,1783272,2,131567,,,
1380,|,Atopobium,|,1380,1643824,84999,84998,201174,1783272,2,131567,,,
184869,|,Varibaculum,|,184869,2049,2037,1760,201174,1783272,2,131567,,,
