taxid,taxname
216816,Bifidobacterium longum
1681,Bifidobacterium bifidum
562,Escherichia coli
1680,Bifidobacterium adolescentis
1304,Streptococcus salivarius
821,Phocaeicola vulgatus
1282,Staphylococcus epidermidis
820,Bacteroides uniformis
43675,Rothia mucilaginosa
1290,Staphylococcus hominis
74426,Collinsella aerofaciens
47678,Bacteroides caccae
823,Parabacteroides distasonis
28037,Streptococcus mitis
1379,Gemella haemolysans
1280,Staphylococcus aureus
357276,Phocaeicola dorei
28116,Bacteroides ovatus
33038,Mediterraneibacter gnavus
46506,Bacteroides stercoris
204516,Phocaeicola massiliensis
818,Bacteroides thetaiotaomicron
40545,Sutterella wadsworthensis
68892,Streptococcus infantis
1685,Bifidobacterium breve
1318,Streptococcus parasanguinis
1308,Streptococcus thermophilus
1,
165179,Segatella copri
39485,Lachnospira eligens
387090,Phocaeicola coprophilus
626940,Phascolarctobacterium succinatutens
46503,Parabacteroides merdae
853,Faecalibacterium prausnitzii
751585,Coprococcus sp. ART55/1
28117,Alistipes putredinis
665950,Lachnospiraceae bacterium 3_1_46FAA
39491,Agathobacter rectalis
411489,Clostridium sp. L2-50
674529,Bacteroides faecis
546,Citrobacter freundii
665951,Lachnospiraceae bacterium 8_1_57FAA
487174,Barnesiella intestinihominis
88431,Dorea longicatena
40518,Ruminococcus bromii
28118,Odoribacter splanchnicus
1118061,Alistipes communis
40519,Ruminococcus callidus
360807,Roseburia inulinivorans
166486,Roseburia intestinalis
40520,Blautia obeum
33039,[Ruminococcus] torques
1735,Holdemanella biformis
46228,[Ruminococcus] lactaris
371601,Bacteroides xylanisolvens
338188,Bacteroides finegoldii
901,Desulfovibrio piger
39486,Dorea formicigenerans
328814,Alistipes shahii
39488,Anaerobutyricum hallii
410072,Coprococcus comes
1211813,Alistipes ihumii AP11
39496,Eubacterium ventriosum
116085,Coprococcus catus
658087,Lachnospiraceae bacterium 7_1_58FAA
658089,Lachnospiraceae bacterium 5_1_63FAA
1099853,Coprobacter fastidiosus
301301,Roseburia hominis
649756,Anaerostipes hadrus
39490,Eubacterium ramulus
39492,[Eubacterium] siraeum
239935,Akkermansia muciniphila
35833,Bilophila wadsworthia
1264,Ruminococcus albus
61171,Holdemania filiformis
1288121,Alistipes senegalensis
100886,Catenibacterium mitsuokai
446660,Adlercreutzia equolifaciens
658081,Lachnospiraceae bacterium 1_1_57FAA
261299,Intestinibacter bartlettii
33043,Coprococcus eutactus
1265,Ruminococcus flavefaciens
876,Desulfovibrio desulfuricans
729,Haemophilus parainfluenzae
328813,Alistipes onderdonkii
214851,Subdoligranulum variabile
552398,Ruminococcaceae bacterium D16
29347,[Clostridium] scindens
333367,Enterocloster asparagiformis
54291,Raoultella ornithinolytica
106588,Pseudoflavonifractor capillosus
658082,Lachnospiraceae bacterium 2_1_58FAA
28111,Bacteroides eggerthii
907,Megasphaera elsdenii
1226323,Oscillibacter sp. KLE 1745
457412,Ruminococcus sp. 5_1_39BFAA
310297,Phocaeicola plebeius
246787,Bacteroides cellulosilyticus
285,Comamonas testosteroni
1535,[Clostridium] leptum
626932,Alistipes indistinctus
28123,Porphyromonas asaccharolytica
322095,Porphyromonas somerae
29466,Veillonella parvula
214856,Alistipes finegoldii
1623,Ligilactobacillus ruminis
501496,Porphyromonas bennonis
1582,Lacticaseibacillus casei
131111,Schaalia turicensis
28127,Hoylesella buccalis
1260,Finegoldia magna
76517,Campylobacter hominis
292800,Flavonifractor plautii
84112,Eggerthella lenta
1358,Lactococcus lactis
386414,Hoylesella timonensis
208479,Enterocloster bolteae
457421,Clostridiales bacterium 1_7_47FAA
487175,Parasutterella excrementihominis
154046,Hungatella hathewayi
113107,Streptococcus australis
658657,Erysipelotrichaceae bacterium 21_3
39778,Veillonella dispar
1343,Streptococcus vestibularis
46124,Granulicatella adiacens
469610,Burkholderiales bacterium 1_1_47
