prep1,prep2,mean_diff,w_pval,FDR
RA,RA,0.0,,
RA,Binary,-0.05482903036449194,0.03224418673562468,0.07699391945477276
RA,Log-Std,-0.07068216635952451,0.015504680151934735,0.05913783249707194
RA,ALR,-0.06714950639367068,0.016147199225088116,0.05913783249707194
RA,CLR,-0.0666869358581873,0.018213297516922466,0.05913783249707194
RA,GPTemb,-0.004539407436155551,0.7145455725258216,0.7878679301393277
Binary,RA,0.05482903036449194,0.03224418673562468,0.07699391945477276
Binary,Binary,0.0,,
Binary,Log-Std,-0.015853135995032575,0.5664997929488891,0.7878679301393277
Binary,ALR,-0.01232047602917874,0.6636639096868748,0.7878679301393277
Binary,CLR,-0.011857905493695364,0.47657686086313333,0.7878679301393277
Binary,GPTemb,0.050289622928336386,0.058059639730345225,0.1088618244943973
Log-Std,RA,0.07068216635952451,0.015504680151934735,0.05913783249707194
Log-Std,Binary,0.015853135995032575,0.5664997929488891,0.7878679301393277
Log-Std,Log-Std,0.0,,
Log-Std,ALR,0.003532659965853835,0.7772631587613432,0.7878679301393277
Log-Std,CLR,0.00399523050133721,0.7456984849377477,0.7878679301393277
Log-Std,GPTemb,0.06614275892336896,0.03593049574556062,0.07699391945477276
ALR,RA,0.06714950639367068,0.016147199225088116,0.05913783249707194
ALR,Binary,0.01232047602917874,0.6636639096868748,0.7878679301393277
ALR,Log-Std,-0.003532659965853835,0.7772631587613432,0.7878679301393277
ALR,ALR,0.0,,
ALR,CLR,0.00046257053548337534,0.7878679301393277,0.7878679301393277
ALR,GPTemb,0.06261009895751513,0.013149019516276894,0.05913783249707194
CLR,RA,0.0666869358581873,0.018213297516922466,0.05913783249707194
CLR,Binary,0.011857905493695364,0.47657686086313333,0.7878679301393277
CLR,Log-Std,-0.00399523050133721,0.7456984849377477,0.7878679301393277
CLR,ALR,-0.00046257053548337534,0.7878679301393277,0.7878679301393277
CLR,CLR,0.0,,
CLR,GPTemb,0.06214752842203175,0.019712610832357313,0.05913783249707194
GPTemb,RA,0.004539407436155551,0.7145455725258216,0.7878679301393277
GPTemb,Binary,-0.050289622928336386,0.058059639730345225,0.1088618244943973
GPTemb,Log-Std,-0.06614275892336896,0.03593049574556062,0.07699391945477276
GPTemb,ALR,-0.06261009895751513,0.013149019516276894,0.05913783249707194
GPTemb,CLR,-0.06214752842203175,0.019712610832357313,0.05913783249707194
GPTemb,GPTemb,0.0,,
