prep1,prep2,mean_diff,w_pval,FDR
RA,RA,0.0,,
RA,Binary,-0.01486256511268691,0.5027255790992058,0.9708842658549726
RA,Log-Std,-0.01732317633613778,0.5759103476702876,0.9708842658549726
RA,ALR,-0.01830203188336932,0.7248812240723055,0.9708842658549726
RA,CLR,-0.017280267575762842,0.5949446441882174,0.9708842658549726
RA,GPTemb,0.0559174265926875,0.154153766186937,0.462461298560811
Binary,RA,0.01486256511268691,0.5027255790992058,0.9708842658549726
Binary,Binary,0.0,,
Binary,Log-Std,-0.0024606112234508704,0.841433030407643,0.9708842658549726
Binary,ALR,-0.003439466770682409,0.819906245887978,0.9708842658549726
Binary,CLR,-0.0024177024630759325,0.7042608358424332,0.9708842658549726
Binary,GPTemb,0.07077999170537441,0.0027516103218658827,0.04127415482798824
Log-Std,RA,0.01732317633613778,0.5759103476702876,0.9708842658549726
Log-Std,Binary,0.0024606112234508704,0.841433030407643,0.9708842658549726
Log-Std,Log-Std,0.0,,
Log-Std,ALR,-0.0009788555472315386,0.9944965508257155,0.9944965508257155
Log-Std,CLR,4.290876037493785e-05,0.972487871767953,0.9944965508257155
Log-Std,GPTemb,0.07324060292882528,0.008191296496079303,0.04473680211958708
ALR,RA,0.01830203188336932,0.7248812240723055,0.9708842658549726
ALR,Binary,0.003439466770682409,0.819906245887978,0.9708842658549726
ALR,Log-Std,0.0009788555472315386,0.9944965508257155,0.9944965508257155
ALR,ALR,0.0,,
ALR,CLR,0.0010217643076064764,0.7878679301393277,0.9708842658549726
ALR,GPTemb,0.07421945847605682,0.014285169563663658,0.05356938586373872
CLR,RA,0.017280267575762842,0.5949446441882174,0.9708842658549726
CLR,Binary,0.0024177024630759325,0.7042608358424332,0.9708842658549726
CLR,Log-Std,-4.290876037493785e-05,0.972487871767953,0.9944965508257155
CLR,ALR,-0.0010217643076064764,0.7878679301393277,0.9708842658549726
CLR,CLR,0.0,,
CLR,GPTemb,0.07319769416845034,0.008947360423917416,0.04473680211958708
GPTemb,RA,-0.0559174265926875,0.154153766186937,0.462461298560811
GPTemb,Binary,-0.07077999170537441,0.0027516103218658827,0.04127415482798824
GPTemb,Log-Std,-0.07324060292882528,0.008191296496079303,0.04473680211958708
GPTemb,ALR,-0.07421945847605682,0.014285169563663658,0.05356938586373872
GPTemb,CLR,-0.07319769416845034,0.008947360423917416,0.04473680211958708
GPTemb,GPTemb,0.0,,
