prep1,prep2,mean_diff,w_pval,FDR
RA,RA,0.0,,
RA,Binary,0.01500420058057228,0.529596308748296,0.8170726924709015
RA,Log-Std,0.010054460111148633,0.5571619422771619,0.8170726924709015
RA,ALR,1.7949525252913823e-05,0.9066497695166618,0.9066497695166618
RA,CLR,0.0266596303536224,0.3721330132939329,0.7974278856298562
RA,GPTemb,0.07909902552794967,0.019712610832357313,0.14784458124267985
Binary,RA,-0.01500420058057228,0.529596308748296,0.8170726924709015
Binary,Binary,0.0,,
Binary,Log-Std,-0.004949740469423647,0.7456984849377477,0.8604213287743242
Binary,ALR,-0.014986251055319366,0.841433030407643,0.9015353897224746
Binary,CLR,0.011655429773050119,0.643712874083576,0.8170726924709015
Binary,GPTemb,0.0640948249473774,0.039960665642865933,0.14985249616074725
Log-Std,RA,-0.010054460111148633,0.5571619422771619,0.8170726924709015
Log-Std,Binary,0.004949740469423647,0.7456984849377477,0.8604213287743242
Log-Std,Log-Std,0.0,,
Log-Std,ALR,-0.01003651058589572,0.6536581539767212,0.8170726924709015
Log-Std,CLR,0.016605170242473766,0.5205607866228092,0.8170726924709015
Log-Std,GPTemb,0.06904456541680104,0.029966583890200127,0.14983291945100063
ALR,RA,-1.7949525252913823e-05,0.9066497695166618,0.9066497695166618
ALR,Binary,0.014986251055319366,0.841433030407643,0.9015353897224746
ALR,Log-Std,0.01003651058589572,0.6536581539767212,0.8170726924709015
ALR,ALR,0.0,,
ALR,CLR,0.026641680828369485,0.2585682743010693,0.6464206857526733
ALR,GPTemb,0.07908107600269676,0.017500869849754963,0.14784458124267985
CLR,RA,-0.0266596303536224,0.3721330132939329,0.7974278856298562
CLR,Binary,-0.011655429773050119,0.643712874083576,0.8170726924709015
CLR,Log-Std,-0.016605170242473766,0.5205607866228092,0.8170726924709015
CLR,ALR,-0.026641680828369485,0.2585682743010693,0.6464206857526733
CLR,CLR,0.0,,
CLR,GPTemb,0.052439395174327275,0.0874627010889526,0.2623881032668578
GPTemb,RA,-0.07909902552794967,0.019712610832357313,0.14784458124267985
GPTemb,Binary,-0.0640948249473774,0.039960665642865933,0.14985249616074725
GPTemb,Log-Std,-0.06904456541680104,0.029966583890200127,0.14983291945100063
GPTemb,ALR,-0.07908107600269676,0.017500869849754963,0.14784458124267985
GPTemb,CLR,-0.052439395174327275,0.0874627010889526,0.2623881032668578
GPTemb,GPTemb,0.0,,
