prep1,prep2,mean_diff,w_pval,FDR
RA,RA,0.0,,
RA,Binary,-0.037166372842486806,0.4304332733154297,0.678563117980957
RA,Log-Std,-0.06193026697651349,0.10539817810058594,0.38411617279052734
RA,ALR,-0.06758760563456978,0.11398696899414062,0.38411617279052734
RA,CLR,-0.07083384921454594,0.082550048828125,0.38411617279052734
RA,GPTemb,-0.004351991874256944,0.9854354858398438,0.9854354858398438
Binary,RA,0.037166372842486806,0.4304332733154297,0.678563117980957
Binary,Binary,0.0,,
Binary,Log-Std,-0.024763894134026687,0.4304332733154297,0.678563117980957
Binary,ALR,-0.030421232792082975,0.5958194732666016,0.8124810999090022
Binary,CLR,-0.033667476372059135,0.4523754119873047,0.678563117980957
Binary,GPTemb,0.03281438096822986,0.2773551940917969,0.5943325587681362
Log-Std,RA,0.06193026697651349,0.10539817810058594,0.38411617279052734
Log-Std,Binary,0.024763894134026687,0.4304332733154297,0.678563117980957
Log-Std,Log-Std,0.0,,
Log-Std,ALR,-0.005657338658056288,0.8983173370361328,0.9854354858398438
Log-Std,CLR,-0.008903582238032448,0.9854354858398438,0.9854354858398438
Log-Std,GPTemb,0.05757827510225655,0.15364646911621094,0.38411617279052734
ALR,RA,0.06758760563456978,0.11398696899414062,0.38411617279052734
ALR,Binary,0.030421232792082975,0.5958194732666016,0.8124810999090022
ALR,Log-Std,0.005657338658056288,0.8983173370361328,0.9854354858398438
ALR,ALR,0.0,,
ALR,CLR,-0.00324624357997616,0.8694877624511719,0.9854354858398438
ALR,GPTemb,0.06323561376031284,0.15364646911621094,0.38411617279052734
CLR,RA,0.07083384921454594,0.082550048828125,0.38411617279052734
CLR,Binary,0.033667476372059135,0.4523754119873047,0.678563117980957
CLR,Log-Std,0.008903582238032448,0.9854354858398438,0.9854354858398438
CLR,ALR,0.00324624357997616,0.8694877624511719,0.9854354858398438
CLR,CLR,0.0,,
CLR,GPTemb,0.066481857340289,0.14290618896484375,0.38411617279052734
GPTemb,RA,0.004351991874256944,0.9854354858398438,0.9854354858398438
GPTemb,Binary,-0.03281438096822986,0.2773551940917969,0.5943325587681362
GPTemb,Log-Std,-0.05757827510225655,0.15364646911621094,0.38411617279052734
GPTemb,ALR,-0.06323561376031284,0.15364646911621094,0.38411617279052734
GPTemb,CLR,-0.066481857340289,0.14290618896484375,0.38411617279052734
GPTemb,GPTemb,0.0,,
