prep1,prep2,mean_diff,w_pval,FDR
RA,RA,0.0,,
RA,Binary,0.006444180071166539,0.8694877624511719,1.0
RA,Log-Std,0.004580402430591213,0.38837623596191406,0.9709405899047852
RA,ALR,-0.0016698000288085657,0.956329345703125,1.0
RA,CLR,0.008003065110681495,0.8694877624511719,1.0
RA,GPTemb,0.0643079054547917,0.08969497680664062,0.4977250099182129
Binary,RA,-0.006444180071166539,0.8694877624511719,1.0
Binary,Binary,0.0,,
Binary,Log-Std,-0.001863777640575326,0.956329345703125,1.0
Binary,ALR,-0.008113980099975104,1.0,1.0
Binary,CLR,0.0015588850395149567,0.9272785186767578,1.0
Binary,GPTemb,0.057863725383625164,0.0758514404296875,0.4977250099182129
Log-Std,RA,-0.004580402430591213,0.38837623596191406,0.9709405899047852
Log-Std,Binary,0.001863777640575326,0.956329345703125,1.0
Log-Std,Log-Std,0.0,,
Log-Std,ALR,-0.0062502024593997785,0.956329345703125,1.0
Log-Std,CLR,0.0034226626800902826,0.9854354858398438,1.0
Log-Std,GPTemb,0.05972750302420049,0.1230926513671875,0.4977250099182129
ALR,RA,0.0016698000288085657,0.956329345703125,1.0
ALR,Binary,0.008113980099975104,1.0,1.0
ALR,Log-Std,0.0062502024593997785,0.956329345703125,1.0
ALR,ALR,0.0,,
ALR,CLR,0.009672865139490061,0.8408222198486328,1.0
ALR,GPTemb,0.06597770548360027,0.13272666931152344,0.4977250099182129
CLR,RA,-0.008003065110681495,0.8694877624511719,1.0
CLR,Binary,-0.0015588850395149567,0.9272785186767578,1.0
CLR,Log-Std,-0.0034226626800902826,0.9854354858398438,1.0
CLR,ALR,-0.009672865139490061,0.8408222198486328,1.0
CLR,CLR,0.0,,
CLR,GPTemb,0.05630484034411021,0.24548721313476562,0.7364616394042969
GPTemb,RA,-0.0643079054547917,0.08969497680664062,0.4977250099182129
GPTemb,Binary,-0.057863725383625164,0.0758514404296875,0.4977250099182129
GPTemb,Log-Std,-0.05972750302420049,0.1230926513671875,0.4977250099182129
GPTemb,ALR,-0.06597770548360027,0.13272666931152344,0.4977250099182129
GPTemb,CLR,-0.05630484034411021,0.24548721313476562,0.7364616394042969
GPTemb,GPTemb,0.0,,
