disease_type,dataset,ENet vs RF,ENet vs TabPFN,ENet vs MGM,RF vs TabPFN,RF vs MGM,TabPFN vs MGM
Mental,AD_Amplicon_genus_loso,66.66666666666667,53.84615384615385,60.0,60.0,66.66666666666667,48.148148148148145
Mental,ASD_Amplicon_genus_loso,37.03703703703704,26.666666666666668,31.03448275862069,39.285714285714285,34.48275862068966,11.11111111111111
Mental,ASD_Metagenomics_genus_loso,40.74074074074074,20.689655172413794,39.285714285714285,20.689655172413794,44.44444444444444,16.129032258064516
Intestinal,Adenoma_Metagenomics_genus_loso,30.0,27.586206896551722,29.032258064516128,33.333333333333336,34.48275862068966,23.333333333333332
Intestinal,CD_Amplicon_genus_loso,46.15384615384615,23.333333333333332,56.0,27.586206896551722,56.0,22.580645161290324
Intestinal,CD_Metagenomics_genus_loso,42.30769230769231,38.46153846153846,50.0,45.833333333333336,46.15384615384615,32.142857142857146
Intestinal,CRC_Metagenomics_genus_loso,18.181818181818183,31.03448275862069,21.875,34.48275862068966,17.647058823529413,18.181818181818183
Intestinal,IBS_Amplicon_genus_loso,40.74074074074074,26.666666666666668,56.0,26.666666666666668,39.285714285714285,21.875
Liver,NAFLD_Amplicon_genus_loso,35.714285714285715,31.03448275862069,25.806451612903224,35.714285714285715,39.285714285714285,30.0
Mental,PD_Amplicon_genus_loso,52.0,18.75,58.333333333333336,21.21212121212121,60.0,25.0
Autoimmun,RA_Metagenomics_genus_loso,22.580645161290324,15.151515151515152,34.48275862068966,31.03448275862069,44.44444444444444,25.806451612903224
Metabolic,T2D_Amplicon_genus_loso,42.857142857142854,33.333333333333336,37.93103448275862,25.0,29.032258064516128,25.0
Intestinal,UC_Amplicon_genus_loso,21.875,18.181818181818183,62.5,33.333333333333336,33.333333333333336,17.647058823529413
Intestinal,UC_Metagenomics_genus_loso,44.0,58.333333333333336,50.0,71.42857142857143,37.03703703703704,50.0
