feature,mean_abs_shap
g__Clostridium,0.069998786
g__Bacteroides,0.06630904
g__Ruminococcus,0.053371377
g__Faecalibacterium,0.043502335
g__Dorea,0.041253593
g__Bifidobacterium,0.04068664
g__Streptococcus,0.03990198
g__Butyricicoccus,0.036288977
g__Roseburia,0.03379169
g__Eggerthella,0.032185405
g__Subdoligranulum,0.030722013
g__Gemmiger,0.03060547
g__Alistipes,0.029979529
g__Prevotella,0.028829802
g__Collinsella,0.02763834
g__Lactonifactor,0.021201598
g__Anaerosinus,0.020739662
g__Selenomonas,0.020512
g__Barnesiella,0.0187089
g__Desulfovibrio,0.01869423
g__Succinispira,0.018308535
g__Lactobacillus,0.017537724
g__Odoribacter,0.017067324
g__Enterococcus,0.013497577
g__Actinomyces,0.01306483
g__Papillibacter,0.0122396685
g__Bacillus,0.011259142
g__Sporobacter,0.010826188
g__Butyricimonas,0.009772108
g__Granulicatella,0.009058229
g__Paraprevotella,0.008935859
g__Pseudomonas,0.008345126
g__Rothia,0.007733446
g__Pyramidobacter,0.0069392016
g__Olsenella,0.0052660266
g__Pediococcus,0.00437463
g__Atopobium,0.0038617956
g__Christensenella,0.0030565583
g__Anaerorhabdus,0.0030343174
g__Slackia,0.0025741088
g__Parabacteroides,0.002372607
g__Herbaspirillum,0.0021814676
g__Catenibacterium,0.0013915838
g__Synergistes,0.0009421126
g__Hespellia,0.00055224303
g__Abiotrophia,
g__Acidaminococcus,
g__Acidovorax,
g__Advenella,
g__Akkermansia,
g__Alloscardovia,
g__Anaerofustis,
g__Anaerotruncus,
g__Arthrobacter,
g__Bulleidia,
g__Butyrivibrio,
g__Chelativorans,
g__Cloacibacillus,
g__Coprobacillus,
g__Coprococcus,
g__Coriobacterium,
g__Corynebacterium,
g__Cytophaga,
g__Dialister,
g__Escherichia,
g__Finegoldia,
g__Halomonas,
g__Helicobacter,
g__Holdemania,
g__Lachnoanaerobaculum,
g__Lachnospira,
g__Leuconostoc,
g__Limnobacter,
g__Methanobrevibacter,
g__Millisia,
g__Mitsuokella,
g__Neisseria,
g__Peptoniphilus,
g__Peptostreptococcus,
g__Proteus,
g__Scardovia,
g__Sphingomonas,
g__Staphylococcus,
g__Vibrio,
g__Victivallis,
g__Weissella,
g__Brevundimonas,
g__Caulobacter,
g__Porphyromonas,
g__Rhizobium,
g__Streptomyces,
g__Aeromonas,
g__Cetobacterium,
g__Shigella,
g__Succinivibrio,
g__Sutterella,
g__Algoriphagus,
g__Bordetella,
g__Deinococcus,
g__Lysobacter,
g__Massilia,
g__Methylobacterium,
g__Micromonospora,
g__Nocardioides,
g__Pedobacter,
g__Rhodococcus,
g__Rhodopseudomonas,
g__Sphingobium,
g__Treponema,
