feature,mean_abs_shap
g__Streptococcus,0.051840343
g__Alistipes,0.0358235
g__Clostridium,0.033241194
g__Bacteroides,0.032419547
g__Bifidobacterium,0.029453037
g__Lactobacillus,0.028326856
g__Faecalibacterium,0.026884433
g__Butyricicoccus,0.02677631
g__Dorea,0.024268745
g__Desulfovibrio,0.02407026
g__Prevotella,0.024043947
g__Ruminococcus,0.023717752
g__Roseburia,0.02286338
g__Granulicatella,0.021701545
g__Odoribacter,0.021597635
g__Gemmiger,0.020169605
g__Eggerthella,0.019419404
g__Parabacteroides,0.0155008
g__Actinomyces,0.015108517
g__Holdemania,0.015067209
g__Lachnospira,0.013387011
g__Anaerotruncus,0.013307983
g__Paraprevotella,0.01132769
g__Butyricimonas,0.010341606
g__Pyramidobacter,0.0076912376
g__Enterococcus,0.005970218
g__Barnesiella,0.00587456
g__Coprobacillus,0.0030880992
g__Christensenella,0.0026109673
g__Atopobium,0.0015119058
g__Abiotrophia,
g__Akkermansia,
g__Anaerofustis,
g__Anaerorhabdus,
g__Anaerosinus,
g__Bacillus,
g__Bulleidia,
g__Butyrivibrio,
g__Cloacibacillus,
g__Collinsella,
g__Coriobacterium,
g__Cytophaga,
g__Dialister,
g__Dysgonomonas,
g__Hespellia,
g__Lactonifactor,
g__Leuconostoc,
g__Limnobacter,
g__Megamonas,
g__Neisseria,
g__Olsenella,
g__Papillibacter,
g__Pediococcus,
g__Phascolarctobacterium,
g__Porphyromonas,
g__Pseudomonas,
g__Rothia,
g__Selenomonas,
g__Sporobacter,
g__Subdoligranulum,
g__Succinispira,
g__Sutterella,
g__Weissella,
g__Acidaminococcus,
g__Acinetobacter,
g__Bilophila,
g__Campylobacter,
g__Catenibacterium,
g__Coprococcus,
g__Cronobacter,
g__Finegoldia,
g__Herbaspirillum,
g__Lactococcus,
g__Mitsuokella,
g__Mobiluncus,
g__Parvimonas,
g__Pectinatus,
g__Peptoniphilus,
g__Peptostreptococcus,
g__Proteus,
g__Rhodopseudomonas,
g__Robinsoniella,
g__Slackia,
g__Streptobacillus,
g__Succinatimonas,
g__Synergistes,
g__Uruburuella,
g__Victivallis,
g__Actinobacillus,
g__Adlercreutzia,
g__Aggregatibacter,
g__Allobaculum,
g__Anaerostipes,
g__Blautia,
g__Corynebacterium,
g__Fusobacterium,
g__Geobacter,
g__Haemophilus,
g__Lachnobacterium,
g__Megasphaera,
g__Methanobrevibacter,
g__Mogibacterium,
g__Morganella,
g__Oribacterium,
g__Oxalobacter,
g__Paracoccus,
g__Peptococcus,
g__Plesiomonas,
g__Providencia,
g__Pseudobutyrivibrio,
g__Rhodococcus,
g__Serratia,
g__Staphylococcus,
g__Thermomonas,
g__Turicibacter,
g__Varibaculum,
g__Veillonella,
g__Alcanivorax,
g__Anaerococcus,
g__Deinococcus,
g__Inquilinus,
g__Lysobacter,
g__Ochrobactrum,
g__Ralstonia,
g__Salinibacter,
g__Methanosphaera,
g__Succinivibrio,
g__Treponema,
