feature,mean_abs_shap
g__Veillonella,0.05516536
g__Streptococcus,0.046761848
g__Anaerostipes,0.038865604
g__Alistipes,0.033832695
g__Bacteroides,0.028847208
g__Prevotella,0.028583853
g__Roseburia,0.028024731
g__Dorea,0.027491687
g__Parabacteroides,0.026761789
g__Blautia,0.026078539
g__Rothia,0.025526721
g__Granulicatella,0.02543197
g__Actinomyces,0.024462158
g__Clostridium,0.024265151
g__Haemophilus,0.02333105
g__Subdoligranulum,0.022836959
g__Faecalibacterium,0.02248346
g__Eggerthella,0.021603584
g__Dialister,0.021084879
g__Flavonifractor,0.020832364
g__Akkermansia,0.02003912
g__Bifidobacterium,0.01893743
g__Anaerotruncus,0.018651199
g__Escherichia,0.018541237
g__Oscillibacter,0.018437278
g__Lactobacillus,0.01827068
g__Parasutterella,0.017178493
g__Eubacterium,0.017014138
g__Bilophila,0.016745057
g__Ruminococcus,0.016228471
g__Collinsella,0.01599354
g__Gemella,0.015556448
g__Holdemania,0.014210883
g__Klebsiella,0.012785629
g__Coprobacillus,0.012433856
g__Megamonas,0.0098589435
g__Fusobacterium,0.009602723
g__Odoribacter,0.008663252
g__Enterobacter,0.008593255
g__Coprococcus,0.008132199
g__Megasphaera,0.0071700714
g__Lactococcus,0.006243844
g__Gordonibacter,0.006091233
g__Barnesiella,0.005958171
g__Peptostreptococcus,0.005933033
g__Sutterella,0.0052506556
g__Desulfovibrio,0.005243179
g__Parvimonas,0.005205017
g__Atopobium,0.005028326
g__Citrobacter,0.0044903257
g__Neisseria,0.0044878516
g__Porphyromonas,0.004446655
g__Adlercreutzia,0.004353467
g__Acidaminococcus,0.0037866093
g__Turicibacter,0.0035394535
g__Pyramidobacter,0.0035039845
g__Pseudoflavonifractor,0.0030718863
g__Weissella,0.0029612188
g__Slackia,0.00262166
g__Coprobacter,0.0023591123
g__Paraprevotella,0.0022540565
g__Acinetobacter,0.0021954246
g__Oxalobacter,0.0019500334
g__Butyricicoccus,0.0016737956
g__Dysgonomonas,0.00097337
g__Alloprevotella,0.0009067641
g__Mitsuokella,0.00083263946
g__Morganella,0.000507892
g__Raoultella,0.00041146707
g__Anaerofustis,
g__Cronobacter,
g__Enhydrobacter,
g__Enterococcus,
g__Leuconostoc,
g__Methanobrevibacter,
g__Peptoniphilus,
g__Phascolarctobacterium,
g__Proteus,
g__Shigella,
g__Solobacterium,
g__Anaeroglobus,
g__Catenibacterium,
g__Butyricimonas,
g__Actinobaculum,
g__Kocuria,
g__Ochrobactrum,
g__Pseudoramibacter,
g__Synergistes,
