feature,mean_abs_shap
g__Veillonella,0.042911846
g__Streptococcus,0.03563738
g__Bacteroides,0.03446109
g__Anaerostipes,0.03291799
g__Lactobacillus,0.032608695
g__Alistipes,0.03121257
g__Actinomyces,0.030047456
g__Oscillibacter,0.028943887
g__Roseburia,0.028568065
g__Blautia,0.026953062
g__Clostridium,0.026406663
g__Parabacteroides,0.024138214
g__Faecalibacterium,0.022097846
g__Rothia,0.021165527
g__Eggerthella,0.020851513
g__Holdemania,0.020318355
g__Collinsella,0.020107342
g__Dorea,0.01971801
g__Bifidobacterium,0.019641664
g__Granulicatella,0.018685441
g__Bilophila,0.018414682
g__Escherichia,0.018218597
g__Odoribacter,0.017658772
g__Akkermansia,0.017258734
g__Eubacterium,0.016294837
g__Haemophilus,0.015750598
g__Gemella,0.015486698
g__Prevotella,0.015327762
g__Subdoligranulum,0.01532146
g__Barnesiella,0.015204453
g__Ruminococcus,0.015030623
g__Coprococcus,0.014922527
g__Flavonifractor,0.014570654
g__Anaerotruncus,0.0141626075
g__Parasutterella,0.012883876
g__Lactococcus,0.011969322
g__Dialister,0.011604531
g__Enterococcus,0.010652388
g__Adlercreutzia,0.010351345
g__Pseudomonas,0.010085133
g__Sutterella,0.009336064
g__Coprobacter,0.009237006
g__Methanobrevibacter,0.009082506
g__Desulfovibrio,0.0089097265
g__Coprobacillus,0.00759321
g__Gordonibacter,0.007384518
g__Pseudoflavonifractor,0.0069044875
g__Atopobium,0.006603948
g__Olsenella,0.0065837367
g__Paraprevotella,0.006352651
g__Leuconostoc,0.006244956
g__Turicibacter,0.0061078314
g__Phascolarctobacterium,0.0054638926
g__Corynebacterium,0.0053922087
g__Butyrivibrio,0.0052497834
g__Klebsiella,0.0049663386
g__Parvimonas,0.004941297
g__Acidaminococcus,0.004866816
g__Propionibacterium,0.004633009
g__Peptostreptococcus,0.0042956425
g__Enterobacter,0.0034199376
g__Scardovia,0.0031960194
g__Staphylococcus,0.0028677688
g__Mitsuokella,0.0028100281
g__Catenibacterium,0.0026588107
g__Megasphaera,0.0025057695
g__Citrobacter,0.0024113434
g__Methanosphaera,0.0023875015
g__Oxalobacter,0.0023188328
g__Megamonas,0.0020564508
g__Fusobacterium,0.0019483
g__Alloscardovia,0.0017378478
g__Pediococcus,0.0016101907
g__Slackia,0.0010688383
g__Gardnerella,0.00050315144
g__Marvinbryantia,0.00049568986
g__Cronobacter,
g__Alloprevotella,
g__Brachyspira,
g__Butyricicoccus,
g__Butyricimonas,
g__Hafnia,
g__Pyramidobacter,
g__Ralstonia,
g__Selenomonas,
g__Succinatimonas,
g__Aggregatibacter,
g__Eikenella,
