feature,mean_abs_shap
g__Streptococcus,0.036811
g__Roseburia,0.03543965
g__Bacteroides,0.033235326
g__Actinomyces,0.032468706
g__Veillonella,0.030050727
g__Clostridium,0.029268598
g__Alistipes,0.028718244
g__Dorea,0.026347274
g__Blautia,0.025417961
g__Parabacteroides,0.024868518
g__Prevotella,0.024083138
g__Anaerostipes,0.02389847
g__Bifidobacterium,0.023743458
g__Coprococcus,0.022964114
g__Lactobacillus,0.022841994
g__Ruminococcus,0.022541957
g__Collinsella,0.021453843
g__Eggerthella,0.020979041
g__Faecalibacterium,0.020837775
g__Akkermansia,0.018351795
g__Dialister,0.017438145
g__Pseudomonas,0.015958883
g__Lactococcus,0.015497326
g__Haemophilus,0.01471822
g__Lachnospira,0.014432738
g__Adlercreutzia,0.011940802
g__Corynebacterium,0.011652344
g__Holdemania,0.011192092
g__Rothia,0.010865914
g__Sutterella,0.010573115
g__Odoribacter,0.0101215625
g__Slackia,0.008732703
g__Fusobacterium,0.008703338
g__Peptoniphilus,0.00861641
g__Porphyromonas,0.008584828
g__Leuconostoc,0.008269475
g__Anaerofustis,0.008033211
g__Coprobacillus,0.00798144
g__Atopobium,0.00760377
g__Anaerococcus,0.0074707246
g__Bilophila,0.0071906163
g__Mogibacterium,0.0068749194
g__Finegoldia,0.0053127194
g__Paraprevotella,0.005302511
g__Desulfovibrio,0.0047700526
g__Parvimonas,0.004595398
g__Megasphaera,0.0032905352
g__Bulleidia,0.0031448482
g__Peptostreptococcus,0.00292549
g__Varibaculum,0.0024870422
g__Butyrivibrio,0.0023576056
g__Peptococcus,0.0020832075
g__Lactonifactor,0.0017209993
g__Pediococcus,0.0015800057
g__Oxalobacter,0.0012014674
g__Scardovia,0.00062725676
g__Mobiluncus,0.0004243665
g__Acetonema,
g__Acidaminococcus,
g__Actinobacillus,
g__Aggregatibacter,
g__Allofustis,
g__Anaerofilum,
g__Anaerolinea,
g__Anaerotruncus,
g__Aneurinibacillus,
g__Bacillus,
g__Barnesiella,
g__Brevibacillus,
g__Brevundimonas,
g__Carnobacterium,
g__Caulobacter,
g__Cellulosilyticum,
g__Cetobacterium,
g__Clostridioides,
g__Cutibacterium,
g__Deinococcus,
g__Desulfotomaculum,
g__Dysgonomonas,
g__Eikenella,
g__Enterococcus,
g__Enterovibrio,
g__Escherichia,
g__Ethanoligenens,
g__Eubacterium,
g__Facklamia,
g__Flavobacterium,
g__Francisella,
g__Gemella,
g__Geobacter,
g__Gordonibacter,
g__Granulicatella,
g__Halobacteriovorax,
g__Herbihabitans,
g__Holdemanella,
g__Ignatzschineria,
g__Ignavigranum,
g__Intestinibacter,
g__Jeotgalicoccus,
g__Kandleria,
g__Klebsiella,
g__Lachnobacterium,
g__Lachnoclostridium,
g__Leptotrichia,
g__Mageeibacillus,
g__Marinobacterium,
g__Microbacterium,
g__Neisseria,
g__Nocardioides,
g__Olsenella,
g__Oscillibacter,
g__Oxalophagus,
g__Paenibacillus,
g__Parasutterella,
g__Pectinatus,
g__Pedobacter,
g__Pelobacter,
g__Peptoanaerobacter,
g__Proteus,
g__Robinsoniella,
g__Ruminiclostridium,
g__Salinivibrio,
g__Salmonella,
g__Selenomonas,
g__Sporobacter,
g__Staphylococcus,
g__Streptomyces,
g__Syntrophococcus,
g__Syntrophomonas,
g__Tannerella,
g__Teredinibacter,
g__Thalassolituus,
g__Thermosulfidibacter,
g__Tissierella,
g__Truepera,
g__Tyzzerella,
g__Vibrio,
g__Waddlia,
g__Weissella,
g__Xylella,
g__Youngiibacter,
g__Butyricicoccus,
g__Butyricimonas,
g__Catenibacterium,
g__Gemmiger,
g__Megamonas,
g__Methanobrevibacter,
g__Phascolarctobacterium,
g__Turicibacter,
g__Morganella,
g__Serratia,
g__Subdoligranulum,
