feature,mean_abs_shap
g__Veillonella,0.04519808
g__Bacteroides,0.037708532
g__Clostridium,0.037423864
g__Blautia,0.03710012
g__Roseburia,0.03264869
g__Subdoligranulum,0.03260017
g__Streptococcus,0.032299772
g__Anaerostipes,0.03223967
g__Alistipes,0.030919125
g__Dorea,0.0289489
g__Oscillibacter,0.028847417
g__Escherichia,0.028676594
g__Faecalibacterium,0.02819129
g__Parabacteroides,0.026472075
g__Eubacterium,0.026162744
g__Bifidobacterium,0.025098553
g__Flavonifractor,0.021933919
g__Eggerthella,0.020965207
g__Lactobacillus,0.020297663
g__Bilophila,0.018715553
g__Ruminococcus,0.01845193
g__Haemophilus,0.017863693
g__Collinsella,0.017665694
g__Akkermansia,0.01721378
g__Dialister,0.016951995
g__Holdemania,0.01664728
g__Prevotella,0.015892765
g__Parasutterella,0.015408161
g__Klebsiella,0.013353344
g__Anaerotruncus,0.012968654
g__Granulicatella,0.012551289
g__Actinomyces,0.012422688
g__Coprobacillus,0.012305603
g__Coprococcus,0.011376767
g__Odoribacter,0.010780762
g__Enterococcus,0.00984876
g__Barnesiella,0.009553134
g__Lactococcus,0.009349365
g__Rothia,0.008173189
g__Desulfovibrio,0.007035744
g__Adlercreutzia,0.0069888406
g__Sutterella,0.0068757236
g__Megasphaera,0.006271189
g__Fusobacterium,0.005899332
g__Megamonas,0.004753917
g__Citrobacter,0.0047361054
g__Porphyromonas,0.0042135357
g__Acidaminococcus,0.0040754443
g__Enterobacter,0.0039578998
g__Methanobrevibacter,0.0039271694
g__Paraprevotella,0.0037700362
g__Coprobacter,0.003393901
g__Scardovia,0.0032182292
g__Atopobium,0.0029675905
g__Turicibacter,0.0028140408
g__Proteus,0.0027220803
g__Pseudoflavonifractor,0.0024868017
g__Campylobacter,0.0023576857
g__Phascolarctobacterium,0.0018573777
g__Propionibacterium,0.0018506993
g__Oxalobacter,0.001835792
g__Catenibacterium,0.0015044773
g__Slackia,0.0014917013
g__Weissella,0.0011002212
g__Butyrivibrio,0.0009594078
g__Staphylococcus,0.00095611904
g__Actinobacillus,
g__Alloprevotella,
g__Anaeroglobus,
g__Butyricicoccus,
g__Butyricimonas,
g__Dysgonomonas,
g__Peptostreptococcus,
g__Abiotrophia,
g__Actinobaculum,
g__Aggregatibacter,
g__Anaerococcus,
g__Anaerofustis,
g__Cellulosilyticum,
g__Corynebacterium,
g__Cronobacter,
g__Eikenella,
g__Finegoldia,
g__Gemella,
g__Gordonibacter,
g__Hafnia,
g__Leuconostoc,
g__Mitsuokella,
g__Morganella,
g__Olsenella,
g__Parvimonas,
g__Pediococcus,
g__Providencia,
g__Pseudomonas,
g__Raoultella,
g__Shigella,
g__Solobacterium,
g__Stenotrophomonas,
g__Cetobacterium,
g__Neisseria,
g__Peptoniphilus,
g__Plesiomonas,
g__Pyramidobacter,
g__Selenomonas,
g__Synergistes,
g__Thauera,
g__Lachnoanaerobaculum,
g__Methanosphaera,
