feature,mean_abs_shap
g__Streptococcus,0.044352908
g__Veillonella,0.043426767
g__Anaerostipes,0.029908631
g__Oscillibacter,0.028023308
g__Lactobacillus,0.027830727
g__Alistipes,0.02772883
g__Roseburia,0.025908196
g__Bacteroides,0.025228063
g__Bifidobacterium,0.023903966
g__Clostridium,0.023536699
g__Faecalibacterium,0.022896715
g__Granulicatella,0.022163117
g__Blautia,0.020524474
g__Rothia,0.02024607
g__Eggerthella,0.019732151
g__Gemella,0.01965665
g__Actinomyces,0.019628234
g__Akkermansia,0.019185027
g__Collinsella,0.01888269
g__Parabacteroides,0.017879473
g__Escherichia,0.017506553
g__Dorea,0.017378883
g__Holdemania,0.016487414
g__Bilophila,0.016230104
g__Prevotella,0.016032467
g__Haemophilus,0.015779017
g__Flavonifractor,0.015611686
g__Eubacterium,0.01493128
g__Anaerotruncus,0.014753316
g__Subdoligranulum,0.014659025
g__Fusobacterium,0.014261066
g__Parasutterella,0.014241368
g__Ruminococcus,0.014055197
g__Odoribacter,0.013191681
g__Coprococcus,0.0129734315
g__Dialister,0.012428392
g__Solobacterium,0.01235466
g__Barnesiella,0.012262924
g__Desulfovibrio,0.010413246
g__Sutterella,0.010102124
g__Lactococcus,0.009688202
g__Adlercreutzia,0.009362549
g__Methanobrevibacter,0.009311159
g__Porphyromonas,0.00844738
g__Coprobacillus,0.008429247
g__Coprobacter,0.008268453
g__Peptostreptococcus,0.007972427
g__Atopobium,0.007957551
g__Enterococcus,0.0078277765
g__Pseudomonas,0.007252567
g__Klebsiella,0.006877491
g__Parvimonas,0.006578857
g__Pseudoflavonifractor,0.0062226923
g__Phascolarctobacterium,0.006169888
g__Acidaminococcus,0.005862142
g__Gordonibacter,0.0056335037
g__Paraprevotella,0.005411488
g__Olsenella,0.0053150547
g__Turicibacter,0.005224326
g__Megasphaera,0.0047743563
g__Enterobacter,0.0038564024
g__Megamonas,0.0035631305
g__Leuconostoc,0.0032940223
g__Butyrivibrio,0.0032761032
g__Citrobacter,0.0031595984
g__Catenibacterium,0.0030071372
g__Oxalobacter,0.0028594504
g__Campylobacter,0.00267811
g__Anaerococcus,0.0024898674
g__Mitsuokella,0.0022445153
g__Abiotrophia,0.0021195791
g__Oribacterium,0.0020873046
g__Slackia,0.0020389338
g__Propionibacterium,0.00203557
g__Scardovia,0.0019899614
g__Butyricicoccus,0.0017074158
g__Alloprevotella,0.0017063093
g__Leptotrichia,0.0016815099
g__Methanosphaera,0.001577162
g__Peptoniphilus,0.0013319245
g__Aggregatibacter,0.0012929962
g__Alloscardovia,0.0012097516
g__Finegoldia,0.0009504095
g__Pediococcus,0.0009000512
g__Weissella,0.00086519285
g__Eikenella,0.00083612476
g__Parascardovia,0.00070163835
g__Selenomonas,0.0005221665
g__Gardnerella,0.00047113837
g__Succinatimonas,0.0003143277
g__Actinobacillus,
g__Aeromonas,
g__Anaerofustis,
g__Anaeroglobus,
g__Bulleidia,
g__Cetobacterium,
g__Corynebacterium,
g__Dysgonomonas,
g__Eggerthia,
g__Filifactor,
g__Fretibacterium,
g__Hafnia,
g__Marvinbryantia,
g__Mogibacterium,
g__Morganella,
g__Proteus,
g__Pyramidobacter,
g__Raoultella,
g__Shigella,
g__Synergistes,
g__Treponema,
g__Brevibacterium,
g__Varibaculum,
g__Cronobacter,
g__Staphylococcus,
g__Brachyspira,
g__Cellulosilyticum,
g__Helicobacter,
g__Catonella,
g__Lysinibacillus,
g__Methanobacterium,
