g__Acidaminococcus,g__Actinomyces,g__Adlercreutzia,g__Alistipes,g__Allobaculum,g__Anaerofilum,g__Anaerotruncus,g__Atopobium,g__Bacteroides,g__Bifidobacterium,g__Bilophila,g__Blautia,g__Butyricicoccus,g__Butyricimonas,g__Butyrivibrio,g__Catenibacterium,g__Christensenella,g__Clostridium,g__Collinsella,g__Coprobacillus,g__Coprococcus,g__Dialister,g__Dorea,g__Eggerthella,g__Ethanoligenens,g__Faecalibacterium,g__Gemmiger,g__Haemophilus,g__Holdemania,g__Lachnobacterium,g__Lachnospira,g__Lactobacillus,g__Megamonas,g__Megasphaera,g__Mitsuokella,g__Odoribacter,g__Parabacteroides,g__Paraprevotella,g__Peptococcus,g__Phascolarctobacterium,g__Porphyromonas,g__Prevotella,g__Propionibacterium,g__Pseudomonas,g__Roseburia,g__Ruminococcus,g__Slackia,g__Streptococcus,g__Sutterella,g__Turicibacter,g__Veillonella,g__Abiotrophia,g__Acholeplasma,g__Acinetobacter,g__Aggregatibacter,g__Akkermansia,g__Algoriphagus,g__Anaerobiospirillum,g__Anaeroplasma,g__Anaerostipes,g__Asteroleplasma,g__Bacillus,g__Barnesiella,g__Bulleidia,g__Campylobacter,g__Capnocytophaga,g__Clavibacter,g__Cloacibacillus,g__Coraliomargarita,g__Desulfonispora,g__Desulfovibrio,g__Elusimicrobium,g__Enhydrobacter,g__Enterococcus,g__Escherichia,g__Eubacterium,g__Facklamia,g__Faecalicoccus,g__Faecalitalea,g__Flavobacterium,g__Fodinicurvata,g__Fructobacillus,g__Fusobacterium,g__Gardnerella,g__Geofilum,g__Gloeobacter,g__Granulicatella,g__Hespellia,g__Holdemanella,g__Hungatella,g__Insolitispirillum,g__Intestinibacter,g__Jejuia,g__Kandleria,g__Klebsiella,g__Lachnoclostridium,g__Lactococcus,g__Lentisphaera,g__Leuconostoc,g__Marivirga,g__Marvinbryantia,g__Methanobrevibacter,g__Methanosphaera,g__Mogibacterium,g__Mycoplasma,g__Olsenella,g__Oscillibacter,g__Oxalobacter,g__Paenibacillus,g__Paeniclostridium,g__Paludibacter,g__Papillibacter,g__Parasutterella,g__Parvimonas,g__Pectinatus,g__Peptoniphilus,g__Peptostreptococcus,g__Proteus,g__Pseudobacteroides,g__Pseudobutyrivibrio,g__Pyramidobacter,g__Ruminiclostridium,g__Saccharofermentans,g__Sharpea,g__Solobacterium,g__Spiroplasma,g__Sporobacter,g__Sporosarcina,g__Staphylococcus,g__Streptomyces,g__Succinivibrio,g__Tannerella,g__Terrisporobacter,g__Tissierella,g__Treponema,g__Tyzzerella,g__Ureibacillus,g__Varibaculum,g__Verrucomicrobium,g__Victivallis,g__Weissella,g__Brachyspira
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07552487,0.0,0.0,0.104071565,0.05875364,0.0,0.0,0.080631696,0.0,0.0,0.0,0.0,0.07669212,0.064323634,0.0,0.0,0.0,0.095596515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12068813,0.07790803,0.0,0.0,0.07865131,0.07193718,0.0,0.0,0.0,0.09522129,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.078732826,0.0,0.0,0.0,0.0,0.084536076,0.0,0.0,0.059611794,0.0,0.0,0.0,0.0,0.0,0.13576758,0.0,0.08580931,0.07659299,0.09463891,0.0,0.0,0.0,0.08159911,0.0,0.0,0.0,0.0,0.0,0.14150593,0.0,0.0,0.0,0.0,0.06263861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.098566875,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0466253,0.0,0.0,0.057950515,0.09270563,0.06935724,0.0,0.0,0.0,0.111244865,0.0,0.0,0.06653392,0.10881088,0.0,0.08732843,0.0,0.049408346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13158208,0.03280894,0.0,0.0,0.077553056,0.0,0.0,0.0,0.0,0.0,0.06809079,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.073280804,0.0,0.0,0.09644778,0.0,0.0,0.0,0.0,0.07272861,0.0,0.0,0.0,0.0,0.10491251,0.0,0.07104632,0.0,0.0,0.0,0.0,0.09321618,0.08642387,0.0,0.0,0.0,0.048066434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08814091,0.0,0.042590998,0.05282966,0.0,0.0,0.0,0.086696915,0.0,0.0,0.0,0.083618976,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08222046,0.0,0.0,0.09669975,0.0,0.0,0.0,0.081364036,0.0,0.09089532,0.101564206,0.0,0.07295375,0.06341726,0.0,0.0,0.0,0.045916945,0.0,0.0,0.0,0.0,0.07449898,0.0,0.095418364,0.0,0.0,0.0,0.0355495,0.0,0.0,0.0,0.0,0.08825001,0.0,0.0,0.0,0.0712514,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08777883,0.04465284,0.0,0.0,0.038689144,0.0,0.0,0.0,0.0,0.0,0.09013734,0.085239366,0.0,0.040819902,0.043653306,0.04140887,0.0,0.047183525,0.06948057,0.0,0.0,0.0,0.0,0.0,0.08376659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07049838,0.0,0.0,0.04864872,0.04946054,0.0,0.048440065,0.0,0.0,0.11014209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11676758,0.0,0.0,0.08781458,0.10716258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10572709,0.0,0.072024256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10277452,0.0,0.0,0.0,0.0,0.0,0.074071206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.100825466,0.11845496,0.0,0.11437775,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06583989,0.0,0.0,0.070305735,0.061857134,0.0,0.0,0.0,0.0,0.0,0.0,0.09221979,0.06541176,0.0,0.042023893,0.0,0.0,0.069880925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060774438,0.0,0.0,0.10960126,0.0,0.0,0.0,0.0,0.0,0.15885493,0.0,0.09128169,0.111948565,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06593471,0.0,0.0,0.07705566,0.07741589,0.0,0.0,0.0,0.0,0.09913685,0.0,0.0,0.091445304,0.0,0.105874054,0.0,0.0,0.08327917,0.0,0.102561206,0.084046625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.082397535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.130853,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08003255,0.0,0.0,0.060418203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08186643,0.0,0.057964176,0.0,0.0,0.08307125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14387237,0.0,0.0,0.0,0.0,0.059097514,0.10929082,0.0,0.08090374,0.115641125,0.0,0.12784182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.097974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11133208,0.12943965,0.0,0.0,0.0,0.13947858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10065531,0.15848601,0.0,0.10552448,0.0,0.15710984,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.068609685,0.0,0.0,0.0,0.0,0.07279542,0.0,0.0,0.060267907,0.057967994,0.0,0.0,0.0,0.0,0.105280176,0.0,0.0,0.052497182,0.045992255,0.0402783,0.0,0.0,0.060212865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.122148246,0.0,0.0,0.0,0.0,0.0,0.11436187,0.0,0.0,0.06648654,0.060676362,0.0,0.072425246,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1004624,0.054322697,0.0,0.04940597,0.07914463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.073818594,0.0,0.051631164,0.09868881,0.0,0.068546236,0.0,0.0,0.0,0.0,0.0,0.085900426,0.0,0.0,0.0,0.091968976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09395699,0.0,0.05240294,0.0,0.0,0.0997502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.085829765,0.0,0.0,0.0,0.0,0.0,0.0,0.039283648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08453407,0.0,0.0,0.08689993,0.061833095,0.0,0.0,0.0,0.0420202,0.10941395,0.0,0.058303077,0.0,0.0,0.0,0.0,0.05971465,0.0,0.10741475,0.035511177,0.08038541,0.0,0.0,0.0,0.0,0.0,0.0,0.08560811,0.0632482,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046961367,0.0,0.060985986,0.0,0.04542383,0.0,0.0,0.13718438,0.0,0.11484141,0.0,0.0,0.066423796,0.0,0.06593613,0.0,0.0,0.070178255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040245432,0.03859467,0.0,0.0,0.0,0.09766147,0.0,0.0,0.086020224,0.046662267,0.0,0.0,0.08288079,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
