feature,mean_abs_shap
g__Streptococcus,0.04260853
g__Veillonella,0.041313022
g__Lactobacillus,0.03410433
g__Actinomyces,0.03241882
g__Prevotella,0.028664825
g__Bacteroides,0.025681242
g__Faecalibacterium,0.025203176
g__Roseburia,0.02501001
g__Alistipes,0.024757702
g__Coprococcus,0.024197783
g__Ruminococcus,0.02315693
g__Clostridium,0.022790715
g__Blautia,0.022388378
g__Haemophilus,0.022193989
g__Dorea,0.020929372
g__Dialister,0.020007493
g__Bifidobacterium,0.019649586
g__Parabacteroides,0.01826329
g__Odoribacter,0.017068451
g__Sutterella,0.017030116
g__Collinsella,0.01511602
g__Gemmiger,0.013747905
g__Porphyromonas,0.011366502
g__Eggerthella,0.010887448
g__Bilophila,0.010513712
g__Anaerotruncus,0.009443438
g__Holdemania,0.009412057
g__Lachnospira,0.008923535
g__Phascolarctobacterium,0.007338414
g__Christensenella,0.007245869
g__Paraprevotella,0.006594683
g__Acidaminococcus,0.0060954494
g__Anaerofilum,0.005660545
g__Coprobacillus,0.0056269737
g__Butyrivibrio,0.0052968827
g__Butyricimonas,0.005185676
g__Atopobium,0.0040476
g__Megasphaera,0.003889923
g__Adlercreutzia,0.0038213448
g__Slackia,0.003226903
g__Lachnobacterium,0.0029685774
g__Ethanoligenens,0.0020661927
g__Peptococcus,0.0019742532
g__Megamonas,0.0011697334
g__Allobaculum,
g__Butyricicoccus,
g__Catenibacterium,
g__Mitsuokella,
g__Propionibacterium,
g__Pseudomonas,
g__Turicibacter,
g__Abiotrophia,
g__Acholeplasma,
g__Acinetobacter,
g__Aggregatibacter,
g__Akkermansia,
g__Algoriphagus,
g__Anaerobiospirillum,
g__Anaeroplasma,
g__Anaerostipes,
g__Asteroleplasma,
g__Bacillus,
g__Barnesiella,
g__Bulleidia,
g__Campylobacter,
g__Capnocytophaga,
g__Clavibacter,
g__Cloacibacillus,
g__Coraliomargarita,
g__Desulfonispora,
g__Desulfovibrio,
g__Elusimicrobium,
g__Enhydrobacter,
g__Enterococcus,
g__Escherichia,
g__Eubacterium,
g__Facklamia,
g__Faecalicoccus,
g__Faecalitalea,
g__Flavobacterium,
g__Fodinicurvata,
g__Fructobacillus,
g__Fusobacterium,
g__Gardnerella,
g__Geofilum,
g__Gloeobacter,
g__Granulicatella,
g__Hespellia,
g__Holdemanella,
g__Hungatella,
g__Insolitispirillum,
g__Intestinibacter,
g__Jejuia,
g__Kandleria,
g__Klebsiella,
g__Lachnoclostridium,
g__Lactococcus,
g__Lentisphaera,
g__Leuconostoc,
g__Marivirga,
g__Marvinbryantia,
g__Methanobrevibacter,
g__Methanosphaera,
g__Mogibacterium,
g__Mycoplasma,
g__Olsenella,
g__Oscillibacter,
g__Oxalobacter,
g__Paenibacillus,
g__Paeniclostridium,
g__Paludibacter,
g__Papillibacter,
g__Parasutterella,
g__Parvimonas,
g__Pectinatus,
g__Peptoniphilus,
g__Peptostreptococcus,
g__Proteus,
g__Pseudobacteroides,
g__Pseudobutyrivibrio,
g__Pyramidobacter,
g__Ruminiclostridium,
g__Saccharofermentans,
g__Sharpea,
g__Solobacterium,
g__Spiroplasma,
g__Sporobacter,
g__Sporosarcina,
g__Staphylococcus,
g__Streptomyces,
g__Succinivibrio,
g__Tannerella,
g__Terrisporobacter,
g__Tissierella,
g__Treponema,
g__Tyzzerella,
g__Ureibacillus,
g__Varibaculum,
g__Verrucomicrobium,
g__Victivallis,
g__Weissella,
g__Brachyspira,
