g__Acidaminococcus,g__Adlercreutzia,g__Alistipes,g__Alloprevotella,g__Anaeroplasma,g__Anaerostipes,g__Bacillus,g__Bacteroides,g__Barnesiella,g__Bifidobacterium,g__Bilophila,g__Blautia,g__Butyricicoccus,g__Catenibacterium,g__Collinsella,g__Coprococcus,g__Desulfovibrio,g__Dialister,g__Dorea,g__Eggerthella,g__Enterobacter,g__Enterococcus,g__Enterorhabdus,g__Faecalibacterium,g__Faecalitalea,g__Flavonifractor,g__Fusobacterium,g__Gordonibacter,g__Granulicatella,g__Holdemanella,g__Intestinibacter,g__Lachnoclostridium,g__Lachnospira,g__Lactobacillus,g__Megamonas,g__Megasphaera,g__Mogibacterium,g__Odoribacter,g__Parabacteroides,g__Paraprevotella,g__Parasutterella,g__Peptococcus,g__Phascolarctobacterium,g__Prevotella,g__Propionibacterium,g__Roseburia,g__Ruminococcus,g__Slackia,g__Solobacterium,g__Streptococcus,g__Subdoligranulum,g__Succinivibrio,g__Sutterella,g__Turicibacter,g__Veillonella,g__Acinetobacter,g__Actinobacillus,g__Aggregatibacter,g__Akkermansia,g__Anaerotruncus,g__Asteroleplasma,g__Butyricimonas,g__Coprobacillus,g__Coprobacter,g__Gardnerella,g__Gemella,g__Haemophilus,g__Hungatella,g__Klebsiella,g__Mitsuokella,g__Neisseria,g__Oscillibacter,g__Pyramidobacter,g__Sneathia,g__Tyzzerella,g__Victivallis,g__Weissella,g__Clostridium,g__Gemmiger,g__Lachnobacterium,g__Methanobrevibacter
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21513334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19389997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3432544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24771236,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30599347,0.0,0.0,0.0,0.0,0.0,0.0,0.4101205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28388608,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.12516986,0.0,0.10787558,0.0,0.09547945,0.0,0.10720981,0.0,0.0,0.10029547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.071541704,0.0,0.14055662,0.0,0.0,0.0,0.15135099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10052057,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.20015793,0.0,0.0,0.0,0.0,0.0,0.19836663,0.0,0.1882249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26610205,0.0,0.0,0.0,0.14714848,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5511252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44887477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32933766,0.0,0.0,0.21472326,0.0,0.0,0.0,0.21933751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23660155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.33137983,0.0,0.0,0.0,0.0,0.0,0.0,0.3234633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3451569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.15834144,0.0,0.19102074,0.0,0.0,0.0,0.0,0.0,0.0,0.14286979,0.2194187,0.0,0.15986207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12848723,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4389754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5610246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0.09914298,0.0,0.0,0.0,0.0,0.0,0.0,0.08625455,0.0,0.09263389,0.0,0.084120706,0.0,0.07886137,0.10254498,0.0,0.0,0.06722628,0.0,0.0,0.0,0.07417605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08614462,0.0,0.0,0.0,0.0,0.0,0.0,0.085100524,0.0,0.0,0.0,0.078922845,0.06487117,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22721939,0.0,0.17816956,0.0,0.0,0.25052544,0.0,0.16597319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1781124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17029385,0.0,0.0,0.120826095,0.0,0.0,0.0,0.09881764,0.0,0.0,0.0,0.18336387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12696724,0.0,0.0,0.17594546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12378587,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
