feature,mean_abs_shap
g__Bifidobacterium,0.07727196
g__Bacteroides,0.07643125
g__Collinsella,0.07560907
g__Ruminococcus,0.04432747
g__Faecalibacterium,0.04305067
g__Blautia,0.038150657
g__Prevotella,0.030406449
g__Lachnospira,0.028431583
g__Butyricicoccus,0.01948235
g__Megamonas,0.010077757
g__Fusobacterium,0.009078503
g__Acidaminococcus,
g__Adlercreutzia,
g__Alistipes,
g__Alloprevotella,
g__Anaeroplasma,
g__Anaerostipes,
g__Bacillus,
g__Barnesiella,
g__Bilophila,
g__Catenibacterium,
g__Coprococcus,
g__Desulfovibrio,
g__Dialister,
g__Dorea,
g__Eggerthella,
g__Enterobacter,
g__Enterococcus,
g__Enterorhabdus,
g__Faecalitalea,
g__Flavonifractor,
g__Gordonibacter,
g__Granulicatella,
g__Holdemanella,
g__Intestinibacter,
g__Lachnoclostridium,
g__Lactobacillus,
g__Megasphaera,
g__Mogibacterium,
g__Odoribacter,
g__Parabacteroides,
g__Paraprevotella,
g__Parasutterella,
g__Peptococcus,
g__Phascolarctobacterium,
g__Propionibacterium,
g__Roseburia,
g__Slackia,
g__Solobacterium,
g__Streptococcus,
g__Subdoligranulum,
g__Succinivibrio,
g__Sutterella,
g__Turicibacter,
g__Veillonella,
g__Acinetobacter,
g__Actinobacillus,
g__Aggregatibacter,
g__Akkermansia,
g__Anaerotruncus,
g__Asteroleplasma,
g__Butyricimonas,
g__Coprobacillus,
g__Coprobacter,
g__Gardnerella,
g__Gemella,
g__Haemophilus,
g__Hungatella,
g__Klebsiella,
g__Mitsuokella,
g__Neisseria,
g__Oscillibacter,
g__Pyramidobacter,
g__Sneathia,
g__Tyzzerella,
g__Victivallis,
g__Weissella,
g__Clostridium,
g__Gemmiger,
g__Lachnobacterium,
g__Methanobrevibacter,
