feature,mean_abs_shap
g__Streptococcus,0.039334096
g__Clostridium,0.03831683
g__Bacteroides,0.03633141
g__Roseburia,0.031143343
g__Lactobacillus,0.03058831
g__Alistipes,0.030498173
g__Faecalibacterium,0.02973538
g__Dorea,0.029735304
g__Odoribacter,0.02823118
g__Subdoligranulum,0.026128711
g__Bifidobacterium,0.025932938
g__Ruminococcus,0.024494367
g__Prevotella,0.023375811
g__Collinsella,0.018920634
g__Akkermansia,0.01804281
g__Desulfovibrio,0.015232568
g__Barnesiella,0.014638641
g__Coprococcus,0.014260413
g__Enterococcus,0.014158371
g__Parabacteroides,0.014079
g__Butyricimonas,0.013808493
g__Holdemania,0.011909678
g__Corynebacterium,0.009515515
g__Coprobacillus,0.0058621913
g__Slackia,0.0041995724
g__Christensenella,0.0033119884
g__Cloacibacillus,0.0025716866
g__Butyrivibrio,0.002524631
g__Varibaculum,0.0021307645
g__Peptostreptococcus,0.0012419291
g__Bulleidia,0.0010328534
g__Mitsuokella,0.00056045916
g__Acholeplasma,
g__Acidaminococcus,
g__Acinetobacter,
g__Actinobaculum,
g__Actinomyces,
g__Allobaculum,
g__Alloscardovia,
g__Anaerobiospirillum,
g__Anaerococcus,
g__Anaerofilum,
g__Anaerofustis,
g__Anaerorhabdus,
g__Anaerosinus,
g__Anaerotruncus,
g__Atopobium,
g__Bacillus,
g__Bilophila,
g__Blautia,
g__Brachyspira,
g__Brevundimonas,
g__Butyricicoccus,
g__Campylobacter,
g__Catenibacterium,
g__Cetobacterium,
g__Coriobacterium,
g__Desulfomicrobium,
g__Dialister,
g__Dysgonomonas,
g__Eggerthella,
g__Enterobacter,
g__Finegoldia,
g__Gardnerella,
g__Gemmiger,
g__Granulicatella,
g__Helicobacter,
g__Herbaspirillum,
g__Hespellia,
g__Lachnospira,
g__Lactococcus,
g__Lactonifactor,
g__Leuconostoc,
g__Limnobacter,
g__Marvinbryantia,
g__Megamonas,
g__Melissococcus,
g__Methanobrevibacter,
g__Methanomassiliicoccus,
g__Methanosphaera,
g__Neisseria,
g__Olsenella,
g__Oribacterium,
g__Papillibacter,
g__Paraprevotella,
g__Parvimonas,
g__Pediococcus,
g__Peptococcus,
g__Peptoniphilus,
g__Proteus,
g__Pseudomonas,
g__Pyramidobacter,
g__Rhizobium,
g__Rikenella,
g__Robinsoniella,
g__Rothia,
g__Scardovia,
g__Selenomonas,
g__Sneathia,
g__Sphingomonas,
g__Sporobacter,
g__Staphylococcus,
g__Succinatimonas,
g__Succinispira,
g__Succinivibrio,
g__Sutterella,
g__Synergistes,
g__Veillonella,
g__Victivallis,
g__Weissella,
g__Acidovorax,
g__Actinomadura,
g__Adlercreutzia,
g__Advenella,
g__Aerococcus,
g__Aeromicrobium,
g__Aggregatibacter,
g__Agrobacterium,
g__Algoriphagus,
g__Aminobacter,
g__Anaerobacillus,
g__Anaeroplasma,
g__Anaerostipes,
g__Arcanobacterium,
g__Arthrobacter,
g__Aurantimonas,
g__Blastomonas,
g__Brachybacterium,
g__Brevibacillus,
g__Brevibacterium,
g__Cellulomonas,
g__Cellulosimicrobium,
g__Chryseobacterium,
g__Comamonas,
g__Cronobacter,
g__Deinococcus,
g__Dermabacter,
g__Edwardsiella,
g__Enhydrobacter,
g__Erwinia,
g__Erythrobacter,
g__Escherichia,
g__Facklamia,
