feature,mean_abs_shap
g__Veillonella,0.052971344
g__Streptococcus,0.0491388
g__Anaerostipes,0.041261934
g__Blautia,0.03277724
g__Prevotella,0.03235826
g__Alistipes,0.032219227
g__Roseburia,0.031171175
g__Oscillibacter,0.028887449
g__Bacteroides,0.027687786
g__Clostridium,0.027480654
g__Faecalibacterium,0.025412966
g__Bifidobacterium,0.025231032
g__Collinsella,0.023923028
g__Eggerthella,0.023776663
g__Dorea,0.023599243
g__Parabacteroides,0.022900699
g__Lactobacillus,0.02218939
g__Subdoligranulum,0.02142266
g__Escherichia,0.020691225
g__Haemophilus,0.020352216
g__Bilophila,0.019586831
g__Parasutterella,0.018784994
g__Eubacterium,0.017991012
g__Holdemania,0.017525397
g__Flavonifractor,0.016737875
g__Ruminococcus,0.016712116
g__Akkermansia,0.015901063
g__Actinomyces,0.015733045
g__Barnesiella,0.013457002
g__Dialister,0.012086365
g__Megamonas,0.01206414
g__Odoribacter,0.01166262
g__Coprococcus,0.011577735
g__Klebsiella,0.011511255
g__Rothia,0.011279302
g__Adlercreutzia,0.0106867235
g__Anaerotruncus,0.010484594
g__Paraprevotella,0.010168937
g__Coprobacillus,0.007418244
g__Coprobacter,0.007338952
g__Citrobacter,0.007224472
g__Enterobacter,0.007145465
g__Gordonibacter,0.007136749
g__Desulfovibrio,0.0071028895
g__Porphyromonas,0.0066811955
g__Fusobacterium,0.0065066568
g__Solobacterium,0.0060313805
g__Methanobrevibacter,0.0057144426
g__Enterococcus,0.0052255937
g__Sutterella,0.0048824204
g__Megasphaera,0.00478406
g__Acidaminococcus,0.004505149
g__Weissella,0.004296585
g__Lactococcus,0.003712005
g__Turicibacter,0.0032489502
g__Phascolarctobacterium,0.0029377076
g__Oxalobacter,0.0020427562
g__Slackia,0.0019989712
g__Catenibacterium,0.00176532
g__Butyrivibrio,0.0013845777
g__Propionibacterium,0.0011811005
g__Butyricicoccus,0.001052399
g__Anaerofustis,0.0008770546
g__Proteus,0.0003987919
g__Acinetobacter,
g__Actinobaculum,
g__Aeromonas,
g__Anaerococcus,
g__Bacillus,
g__Butyricimonas,
g__Campylobacter,
g__Cetobacterium,
g__Gardnerella,
g__Gemella,
g__Granulicatella,
g__Leuconostoc,
g__Methanosphaera,
g__Mitsuokella,
g__Pediococcus,
g__Peptoniphilus,
g__Peptostreptococcus,
g__Pseudomonas,
g__Pyramidobacter,
g__Raoultella,
g__Shigella,
g__Staphylococcus,
g__Succinatimonas,
g__Enhydrobacter,
g__Fretibacterium,
g__Halomonas,
g__Morganella,
g__Providencia,
