feature,mean_abs_shap
g__Clostridium,0.062353794
g__Bacteroides,0.05042085
g__Alistipes,0.0458007
g__Faecalibacterium,0.039569043
g__Bifidobacterium,0.033655275
g__Dorea,0.031706877
g__Roseburia,0.031351406
g__Cytophaga,0.030895418
g__Ruminococcus,0.028447233
g__Streptococcus,0.028349992
g__Barnesiella,0.02640347
g__Papillibacter,0.022808934
g__Lactobacillus,0.02066841
g__Sporobacter,0.019144958
g__Desulfovibrio,0.017404784
g__Rothia,0.014164101
g__Selenomonas,0.013735313
g__Olsenella,0.011257961
g__Enterococcus,0.0075697703
g__Pediococcus,0.005704237
g__Butyrivibrio,0.005092291
g__Abiotrophia,
g__Acetobacter,
g__Acholeplasma,
g__Achromobacter,
g__Acidaminococcus,
g__Acinetobacter,
g__Actinobacillus,
g__Actinomyces,
g__Aeromonas,
g__Aerosphaera,
g__Aggregatibacter,
g__Akkermansia,
g__Allobaculum,
g__Alloscardovia,
g__Alteromonas,
g__Anaerobiospirillum,
g__Anaerofilum,
g__Anaerofustis,
g__Anaerolinea,
g__Anaerorhabdus,
g__Anaerosinus,
g__Anaerostipes,
g__Anaerotruncus,
g__Anaerovibrio,
g__Anoxybacillus,
g__Apibacter,
g__Arcobacter,
g__Arthrobacter,
g__Asteroleplasma,
g__Atopobium,
g__Azospirillum,
g__Bacillus,
g__Belnapia,
g__Bergeyella,
g__Bilophila,
g__Blattabacterium,
g__Blautia,
g__Bordetella,
g__Brachybacterium,
g__Brachyspira,
g__Brevibacillus,
g__Brevibacterium,
g__Brevundimonas,
g__Bulleidia,
g__Burkholderia,
g__Caldilinea,
g__Caldimonas,
g__Campylobacter,
g__Carnobacterium,
g__Chloracidobacterium,
g__Christensenella,
g__Chryseobacterium,
g__Cloacibacillus,
g__Collinsella,
g__Comamonas,
g__Coprobacillus,
g__Coprococcus,
g__Coraliomargarita,
g__Coriobacterium,
g__Corynebacterium,
g__Crenobacter,
g__Cupriavidus,
g__Curtobacterium,
g__Cutibacterium,
g__Deinococcus,
g__Delftia,
g__Desulfomicrobium,
g__Dialister,
g__Dietzia,
g__Dolosigranulum,
g__Eggerthella,
g__Elusimicrobium,
g__Endozoicomonas,
g__Enterobacter,
g__Escherichia,
g__Eubacterium,
g__Faecalitalea,
g__Finegoldia,
g__Flavobacterium,
g__Gemmata,
g__Gemmatimonas,
g__Geoalkalibacter,
g__Geobacillus,
g__Gimesia,
g__Gloeobacter,
g__Gluconobacter,
g__Granulicatella,
g__Haemophilus,
g__Halomonas,
g__Helicobacter,
g__Herbaspirillum,
g__Hespellia,
g__Holdemanella,
g__Holdemania,
g__Hydrogenophaga,
g__Intestinibacter,
g__Kandleria,
g__Kocuria,
g__Ktedonobacter,
g__Lachnoanaerobaculum,
g__Lachnoclostridium,
g__Lachnospira,
g__Lactococcus,
g__Lactonifactor,
g__Legionella,
g__Lentisphaera,
g__Leucobacter,
g__Leuconostoc,
g__Limnobacter,
g__Listeria,
g__Lysobacter,
g__Marvinbryantia,
g__Megasphaera,
g__Meiothermus,
g__Methanobrevibacter,
g__Methanosphaera,
g__Methylobacterium,
g__Microbacterium,
g__Micrococcus,
g__Mitsuokella,
g__Mobiluncus,
g__Moraxella,
g__Morganella,
g__Neisseria,
g__Nitrosopumilus,
g__Nitrospira,
g__Nocardioides,
g__Odoribacter,
g__Oenococcus,
g__Oscillibacter,
g__Paenibacillus,
g__Parabacteroides,
g__Paracoccus,
g__Paraprevotella,
g__Parasutterella,
g__Pectinatus,
g__Peptoniphilus,
g__Peptostreptococcus,
g__Perlucidibaca,
g__Phenylobacterium,
g__Phycisphaera,
g__Pirellula,
g__Planococcus,
g__Prevotella,
g__Proteus,
g__Pseudoalteromonas,
g__Pseudomonas,
g__Pseudonocardia,
g__Pyramidobacter,
g__Ralstonia,
g__Rhizobium,
g__Rhodococcus,
g__Rhodopirellula,
g__Rhodopseudomonas,
g__Rickettsia,
g__Robinsoniella,
g__Roseomonas,
g__Rubrobacter,
g__Ruminiclostridium,
g__Rummeliibacillus,
g__Saccharibacter,
g__Salmonella,
g__Scardovia,
g__Shewanella,
g__Shigella,
g__Simkania,
g__Slackia,
g__Sodalis,
g__Solimonas,
g__Solirubrobacter,
g__Sphaerobacter,
g__Sphingobacterium,
g__Sphingobium,
g__Sphingomonas,
g__Sphingopyxis,
g__Spiroplasma,
g__Staphylococcus,
g__Stenotrophomonas,
g__Streptomyces,
g__Succinatimonas,
g__Succinispira,
g__Sutterella,
g__Synergistes,
g__Thermoanaerobacterium,
g__Thermus,
g__Tolumonas,
g__Treponema,
g__Tyzzerella,
g__Ureibacillus,
g__Vagococcus,
g__Varibaculum,
g__Veillonella,
g__Vibrio,
g__Victivallis,
g__Vogesella,
g__Weissella,
g__Wolbachia,
g__Butyricicoccus,
g__Catenibacterium,
g__Gemmiger,
g__Subdoligranulum,
g__Actinobaculum,
g__Butyricimonas,
g__Megamonas,
g__Streptobacillus,
