feature,mean_abs_shap
g__Streptococcus,0.03296466
g__Lactobacillus,0.03243295
g__Bacteroides,0.03239168
g__Coprococcus,0.03142359
g__Anaerostipes,0.031001605
g__Alistipes,0.030568594
g__Clostridium,0.029809989
g__Bifidobacterium,0.029446583
g__Veillonella,0.029365927
g__Ruminococcus,0.028549226
g__Collinsella,0.027761126
g__Roseburia,0.026891895
g__Dorea,0.025524726
g__Faecalibacterium,0.024652882
g__Actinomyces,0.022320244
g__Gemmiger,0.021970982
g__Blautia,0.021855375
g__Prevotella,0.018415725
g__Dialister,0.01800499
g__Parabacteroides,0.017969592
g__Lachnospira,0.017442487
g__Lactococcus,0.01556862
g__Akkermansia,0.01502471
g__Sutterella,0.0146412365
g__Eggerthella,0.0138256205
g__Holdemania,0.013488029
g__Odoribacter,0.013393354
g__Adlercreutzia,0.012501696
g__Bilophila,0.011983484
g__Methanobrevibacter,0.010365437
g__Haemophilus,0.010045541
g__Peptoniphilus,0.009798172
g__Granulicatella,0.008898128
g__Rothia,0.008827702
g__Leuconostoc,0.0084061865
g__Desulfovibrio,0.008279255
g__Paraprevotella,0.0077207615
g__Anaerococcus,0.0077120615
g__Butyricimonas,0.007681414
g__Slackia,0.0075613195
g__Acidaminococcus,0.0073246956
g__Corynebacterium,0.0072000977
g__Mogibacterium,0.0066362172
g__Porphyromonas,0.0063855154
g__Anaerofustis,0.00618144
g__Coprobacillus,0.006118917
g__Pseudomonas,0.0061142887
g__Peptostreptococcus,0.005375187
g__Megasphaera,0.004977919
g__Enterococcus,0.0047944123
g__Christensenella,0.0042974553
g__Finegoldia,0.004131076
g__Parvimonas,0.0040951795
g__Mitsuokella,0.0037270782
g__Megamonas,0.00343529
g__Butyrivibrio,0.0029020982
g__Barnesiella,0.0028007382
g__Bulleidia,0.0024964013
g__Oxalobacter,0.0021710827
g__Varibaculum,0.0015196784
g__Allobaculum,
g__Atopobium,
g__Butyricicoccus,
g__Catenibacterium,
g__Lachnobacterium,
g__Lactonifactor,
g__Mobiluncus,
g__Pediococcus,
g__Peptococcus,
g__Phascolarctobacterium,
g__Staphylococcus,
g__Stenotrophomonas,
g__Turicibacter,
g__Weissella,
g__Acetivibrio,
g__Acholeplasma,
g__Actinobacillus,
g__Aggregatibacter,
g__Anaerobiospirillum,
g__Anaerofilum,
g__Anaerotruncus,
g__Bacillus,
g__Campylobacter,
g__Cellulosilyticum,
g__Clavibacter,
g__Coraliomargarita,
g__Cryptobacterium,
g__Desulfonispora,
g__Eikenella,
g__Elusimicrobium,
g__Escherichia,
g__Eubacterium,
g__Faecalitalea,
g__Fusobacterium,
g__Gemella,
g__Gloeobacter,
g__Gordonibacter,
g__Holdemanella,
g__Intestinibacter,
g__Kandleria,
g__Klebsiella,
g__Lachnoclostridium,
g__Leptotrichia,
g__Lysinibacillus,
g__Methanosphaera,
g__Morganella,
g__Olsenella,
g__Oscillibacter,
g__Papillibacter,
g__Parasutterella,
g__Pectinatus,
g__Proteus,
g__Pseudoflavonifractor,
g__Pyramidobacter,
g__Ruminiclostridium,
g__Salmonella,
g__Sneathia,
g__Spiroplasma,
g__Sporobacter,
g__Streptomyces,
g__Subdoligranulum,
g__Tissierella,
g__Treponema,
g__Tyzzerella,
g__Ureibacillus,
g__Victivallis,
g__Cetobacterium,
g__Serratia,
