feature,mean_abs_shap
g__Clostridium,0.04122724
g__Bacteroides,0.038259026
g__Alistipes,0.036930528
g__Oscillibacter,0.034967225
g__Roseburia,0.03490613
g__Blautia,0.03479985
g__Streptococcus,0.03468752
g__Veillonella,0.033556234
g__Anaerostipes,0.030241596
g__Escherichia,0.029246
g__Eggerthella,0.028172253
g__Parabacteroides,0.02704075
g__Bifidobacterium,0.027027762
g__Eubacterium,0.026614811
g__Dorea,0.026416596
g__Faecalibacterium,0.025515584
g__Holdemania,0.023185782
g__Subdoligranulum,0.02276143
g__Bilophila,0.020749
g__Lactobacillus,0.020191843
g__Collinsella,0.020056337
g__Ruminococcus,0.019322999
g__Flavonifractor,0.019292034
g__Dialister,0.019233817
g__Akkermansia,0.018578423
g__Haemophilus,0.017617006
g__Prevotella,0.016416991
g__Anaerotruncus,0.015782686
g__Parasutterella,0.01501959
g__Coprococcus,0.015013104
g__Barnesiella,0.013375774
g__Adlercreutzia,0.01264005
g__Odoribacter,0.01140883
g__Lactococcus,0.010461646
g__Sutterella,0.008980929
g__Rothia,0.0077338787
g__Methanobrevibacter,0.0072253193
g__Desulfovibrio,0.0072218007
g__Coprobacillus,0.0070010643
g__Klebsiella,0.006767125
g__Paraprevotella,0.006359114
g__Turicibacter,0.00611633
g__Pseudoflavonifractor,0.005661376
g__Porphyromonas,0.0049509797
g__Coprobacter,0.0045250813
g__Megasphaera,0.0041398257
g__Acidaminococcus,0.00399004
g__Peptostreptococcus,0.0039181877
g__Propionibacterium,0.0030353295
g__Megamonas,0.0029389574
g__Fusobacterium,0.0027459185
g__Phascolarctobacterium,0.0027407722
g__Oxalobacter,0.0022714622
g__Catenibacterium,0.0021133386
g__Butyrivibrio,0.0018039736
g__Enterobacter,0.0017866978
g__Pediococcus,0.0017412117
g__Citrobacter,0.0017398384
g__Proteus,0.0015385677
g__Aggregatibacter,0.00085143617
g__Morganella,0.0005114745
g__Actinobacillus,
g__Actinobaculum,
g__Actinomyces,
g__Alloscardovia,
g__Anaerococcus,
g__Anaerofustis,
g__Butyricicoccus,
g__Campylobacter,
g__Corynebacterium,
g__Enterococcus,
g__Finegoldia,
g__Gemella,
g__Gordonibacter,
g__Granulicatella,
g__Leuconostoc,
g__Methanosphaera,
g__Mitsuokella,
g__Olsenella,
g__Parascardovia,
g__Parvimonas,
g__Peptoniphilus,
g__Pseudomonas,
g__Slackia,
g__Solobacterium,
g__Weissella,
g__Aeromonas,
g__Shewanella,
