feature,mean_abs_shap
ncbi_239934,1.148161223327899
ncbi_204475,0.515619007054606
ncbi_102106,0.41335538044694026
ncbi_1485,0.38561705116355477
ncbi_189330,0.38230118158669496
ncbi_816,0.34135312874786955
ncbi_216851,0.23474213505069336
ncbi_841,0.22104092073798792
ncbi_580596,0.12548489672293436
ncbi_292632,0.12494060678244309
ncbi_420345,0.12453878821797802
ncbi_1263,0.12291710325787716
ncbi_397864,0.1196682744299308
ncbi_1678,0.11790032886738434
ncbi_78119,0.11200170183386068
ncbi_239759,0.1089341031232504
ncbi_1301,0.10193187140983154
ncbi_1578,0.08416950110278949
ncbi_638847,0.04728616073954102
ncbi_44748,0.04128373809497481
ncbi_970,0.03385204835603008
ncbi_1159323,0.029661678920498393
ncbi_151037,0.0272778458812147
ncbi_574697,0.022529912749217902
ncbi_872,0.022440867970831307
ncbi_84111,0.021423929012492262
ncbi_978,0.02014594988880349
ncbi_577309,0.018109901271713157
ncbi_838,0.01761135641762668
ncbi_222991,0.01400634853315752
ncbi_133925,0.013511615295797993
ncbi_283168,0.012744527617320521
ncbi_1185408,0.012371857059765172
ncbi_100175,0.012267479281385798
ncbi_46255,0.011112187867792712
ncbi_2172,0.010753644194520006
ncbi_1654,0.01020812853618954
ncbi_117563,0.009218448658733216
ncbi_574899,0.00896457915855973
ncbi_1716,0.008430693277256955
ncbi_33870,0.007396561809457225
ncbi_33042,0.006655247584560381
ncbi_1350,0.005255671473528322
ncbi_286,0.004823358826619384
ncbi_244127,0.004172886820725383
ncbi_32207,0.003916896953121239
ncbi_1253,0.0032512363192977304
ncbi_651554,0.003116652403566894
ncbi_28050,0.0027724401237045147
ncbi_2753,0.0025258270582985028
ncbi_1386,0.00247420332289375
ncbi_118966,0.0022801782858337294
ncbi_135858,0.0019074025718681946
ncbi_620,0.0016987180423266564
ncbi_61170,0.0014678469815187947
ncbi_375288,0.0012951512921196646
ncbi_52225,0.0011061566744395748
ncbi_508459,0.0010483842570405812
ncbi_2745,0.0008776508650909688
ncbi_1380,0.0008651827151387062
ncbi_118747,0.0006996576653163162
ncbi_1827,0.0006563054625654465
ncbi_100883,0.0006017187313792229
ncbi_84108,0.0005820312864439473
ncbi_963,0.0003817624727842786
ncbi_46123,0.0002818365869518348
ncbi_990721,0.0002730088945611509
ncbi_131079,0.0002198182548986969
ncbi_583,0.0001763990491051724
ncbi_264995,0.0001480541479649585
ncbi_1243,0.00013431194640649942
ncbi_196081,0.00012735723114484725
ncbi_264147,0.00011123471633143323
ncbi_1257,0.0001045907782520758
ncbi_39948,9.426098350447965e-05
ncbi_180162,7.116317449860102e-05
ncbi_149698,5.271382647945469e-05
ncbi_1663,4.257181765125806e-05
ncbi_150022,4.035374090346341e-05
ncbi_119852,3.984786564749233e-05
ncbi_241189,3.820238120395892e-05
ncbi_379,3.637976950149367e-05
ncbi_419014,2.3156753028303985e-05
ncbi_830,2.183865050330694e-05
ncbi_449972,1.8998125933024686e-05
ncbi_1279,1.7679244368827482e-05
ncbi_172900,1.2453463966714699e-05
ncbi_68,1.1565730538192912e-05
ncbi_162289,3.92460017073785e-06
ncbi_13687,3.6041107909030277e-06
ncbi_662,2.964624010418741e-06
ncbi_407,2.6302271263085764e-06
ncbi_75,2.296888428645e-06
ncbi_1839,1.2319343528268038e-06
ncbi_177971,1.1844390847570771e-06
ncbi_1883,1.026860084733876e-06
ncbi_41275,7.858094506614335e-07
ncbi_142587,5.30226646390914e-07
ncbi_482,4.519879616450305e-07
ncbi_610116,3.165937697598135e-07
ncbi_40544,3.1402577875953794e-07
ncbi_1164882,2.2173298545428316e-07
ncbi_517,1.3911539939393078e-07
ncbi_1298,1.0014998384562084e-07
ncbi_165695,6.653934183520259e-08
ncbi_836,0.0
ncbi_295595,0.0
ncbi_881616,0.0
ncbi_157,0.0
ncbi_12916,0.0
ncbi_84567,0.0
ncbi_246875,0.0
ncbi_1873,0.0
ncbi_904,0.0
ncbi_561,0.0
ncbi_209,0.0
ncbi_1073,0.0
ncbi_83770,0.0
ncbi_642,0.0
ncbi_290425,0.0
ncbi_307628,0.0
