feature,mean_abs_shap
ncbi_1301,0.041576176011293486
ncbi_216851,0.040935313084725505
ncbi_1678,0.029459720062095972
ncbi_1485,0.028658772376457156
ncbi_189330,0.027499727241120785
ncbi_283168,0.022246606288404688
ncbi_239934,0.018730501618690082
ncbi_841,0.017728675095467987
ncbi_1263,0.01533408060386263
ncbi_204475,0.014397463850523508
ncbi_816,0.014093293210930976
ncbi_292632,0.013128629282793038
ncbi_580596,0.012730282815522513
ncbi_239759,0.010426308877696158
ncbi_838,0.008333527539838341
ncbi_420345,0.008127653112563233
ncbi_102106,0.007749197170563424
ncbi_970,0.007585356373401333
ncbi_78119,0.007015349846244693
ncbi_574697,0.006089772243642897
ncbi_84111,0.005873619138318292
ncbi_222991,0.005426838879191117
ncbi_397864,0.004936422346130076
ncbi_1185408,0.004662405018728958
ncbi_100175,0.004636340248417942
ncbi_1159323,0.004544662029838473
ncbi_117563,0.00434926780275271
ncbi_1654,0.004241099514985367
ncbi_151037,0.003916735274459454
ncbi_577309,0.0037074215855287087
ncbi_872,0.003705374555558449
ncbi_244127,0.0036538933819605496
ncbi_286,0.003642501242127106
ncbi_33042,0.0034259683860949613
ncbi_1350,0.0033491206546033617
ncbi_1578,0.003102469891473649
ncbi_1386,0.0030849128895119164
ncbi_2745,0.002846475873942993
ncbi_46255,0.0028420737756106843
ncbi_44748,0.0027565824278046043
ncbi_61170,0.0023990929486865558
ncbi_133925,0.0021668543865931583
ncbi_990721,0.002125480974099033
ncbi_638847,0.0017954746209487625
ncbi_100883,0.0016549078042912048
ncbi_32207,0.001648838714944818
ncbi_620,0.001485695382163517
ncbi_118747,0.0014683834367287497
ncbi_1716,0.0013633010329385051
ncbi_963,0.0012955474235486774
ncbi_1380,0.0012867964450635147
ncbi_978,0.0012348266758080938
ncbi_574899,0.0012190524124272588
ncbi_1253,0.001143353076672668
ncbi_2172,0.0010504294034487337
ncbi_135858,0.0008419620607814111
ncbi_33870,0.0007786909540180174
ncbi_84108,0.0007049982591614114
ncbi_118966,0.0006581090705935751
ncbi_1243,0.0005585961601585589
ncbi_651554,0.0005521714225931317
ncbi_1257,0.0005241469590467737
ncbi_46123,0.00045840993284182934
ncbi_1827,0.00042448500956726625
ncbi_1279,0.00038705241077018564
ncbi_419014,0.00037789130978371815
ncbi_39948,0.00034153651593424875
ncbi_449972,0.00031509681705562965
ncbi_264995,0.0003090914268178848
ncbi_150022,0.0002889142333253064
ncbi_2753,0.00024801653961725284
ncbi_375288,0.00023756841202995574
ncbi_131079,0.0002284517252500763
ncbi_610116,0.0001997588993466351
ncbi_196081,0.00018175939384125855
ncbi_662,0.00016476941869809122
ncbi_241189,0.00016179571854133096
ncbi_172900,0.00015664061745418044
ncbi_583,0.00015006770205152814
ncbi_508459,0.00014893910528845081
ncbi_41275,0.0001373233236821507
ncbi_1883,0.00013054621820372762
ncbi_119852,0.00013015433446411333
ncbi_177971,0.0001115383464072014
ncbi_28050,0.00010366885216276472
ncbi_307628,0.00010295403587229699
ncbi_290425,9.689396234747124e-05
ncbi_52225,9.291022213877339e-05
ncbi_379,8.676404416364588e-05
ncbi_264147,8.660386794598642e-05
ncbi_149698,8.380583299514407e-05
ncbi_68,7.668270701427778e-05
ncbi_13687,6.623944097163997e-05
ncbi_482,6.51321144181734e-05
ncbi_75,6.44110526355801e-05
ncbi_561,6.272625861553507e-05
ncbi_1839,6.149861102640807e-05
ncbi_180162,6.082654223835844e-05
ncbi_1663,6.0508674972605176e-05
ncbi_881616,5.8626718713651037e-05
ncbi_1073,5.6293350664470454e-05
ncbi_157,4.72756933204427e-05
ncbi_162289,4.4897540028082494e-05
ncbi_407,3.678111263071004e-05
ncbi_1164882,2.3064379272447326e-05
ncbi_12916,2.246430780763893e-05
ncbi_295595,2.0978365237054594e-05
ncbi_904,2.035167951322701e-05
ncbi_1873,1.7196486853664608e-05
ncbi_830,1.640809780178018e-05
ncbi_209,1.522675137034416e-05
ncbi_142587,9.159231287787211e-06
ncbi_165695,4.276144898535897e-06
ncbi_1298,3.592238538753369e-06
ncbi_40544,3.254439104874364e-06
ncbi_517,3.1386630070937592e-06
ncbi_83770,0.0
ncbi_246875,0.0
ncbi_84567,0.0
ncbi_642,0.0
ncbi_836,0.0
