feature,mean_abs_shap
ncbi_40544,0.020502912228856706
ncbi_216851,0.017665522626149704
ncbi_577309,0.01574663574918043
ncbi_102106,0.014427823739850416
ncbi_140625,0.013707056141602846
ncbi_283168,0.013512263777708288
ncbi_292632,0.011002536297068271
ncbi_61170,0.010467728109061452
ncbi_35832,0.010184021552042566
ncbi_838,0.009995209375255078
ncbi_1678,0.00977191114995752
ncbi_580596,0.009749083479495395
ncbi_572511,0.009077146796391346
ncbi_158846,0.007980474936604708
ncbi_84111,0.007939828942690635
ncbi_207244,0.00780057495385122
ncbi_189330,0.00762168019720479
ncbi_816,0.007330785119918457
ncbi_1266,0.007258568074582636
ncbi_375288,0.0072531974917905175
ncbi_29465,0.007127464123357512
ncbi_33042,0.0069548580090022585
ncbi_1263,0.006888293137779806
ncbi_244127,0.006565713750562865
ncbi_239759,0.006552447838028017
ncbi_841,0.006316663962266626
ncbi_1578,0.006089974423296317
ncbi_119852,0.005681267207814828
ncbi_39948,0.0056806876405364045
ncbi_204475,0.005598912065760483
ncbi_33024,0.00557577982957482
ncbi_28050,0.005454756809755038
ncbi_1485,0.005427305403283597
ncbi_724,0.005064420236933133
ncbi_397864,0.004946402715744439
ncbi_1301,0.004924701669621082
ncbi_191303,0.004775738934222959
ncbi_872,0.004476863902660393
ncbi_970,0.0044159503565835215
ncbi_990721,0.004312091800546129
ncbi_574697,0.0040776407248166655
ncbi_1654,0.004066606743826372
ncbi_118966,0.0038452290329757796
ncbi_906,0.00318849949535825
ncbi_100883,0.0031738375765024774
ncbi_239934,0.002888935703950175
ncbi_1350,0.00270307200729434
ncbi_117563,0.0026911367946137843
ncbi_135858,0.0025405320750649723
ncbi_151037,0.002244068366879806
ncbi_978,0.0022123643644494104
ncbi_638847,0.002166304265976264
ncbi_44748,0.001998113055399965
ncbi_420345,0.0019524187204128295
ncbi_1185408,0.0019158700531677782
ncbi_447020,0.001903151214249379
ncbi_78119,0.0018687190384280082
ncbi_46123,0.0018043441380974524
ncbi_416916,0.0017398302540287739
ncbi_1159323,0.0017305925736718236
ncbi_1243,0.0015868097466981833
ncbi_904,0.0014621597127506185
ncbi_84108,0.001365458534304491
ncbi_848,0.0013584874299614803
ncbi_1357,0.0013517571571607242
ncbi_581,0.001335894055253536
ncbi_32207,0.001050572314343907
ncbi_574899,0.0010146919584950054
ncbi_846,0.0009714258841321737
ncbi_1257,0.0009685856415702736
ncbi_100175,0.0009666341708962537
ncbi_830,0.0009428894995477124
ncbi_1386,0.0007141882239958452
ncbi_469,0.0006448433304610093
ncbi_543311,0.0006011279900533228
ncbi_836,0.0005022814220289314
ncbi_528,0.0004877793791648358
ncbi_52225,0.00047982923170481205
ncbi_59753,0.00046721581693084853
ncbi_1716,0.0004503602963396833
ncbi_118747,0.00044805034340381224
ncbi_51514,0.00044277244936898475
ncbi_1380,0.0004111188628107735
ncbi_46255,0.00040623321448627177
ncbi_1073,0.00040132861705123124
ncbi_264995,0.0003859112945528365
ncbi_508459,0.00037895240139861996
ncbi_482,0.0003212591740148826
ncbi_68,0.0003147435091706134
ncbi_146918,0.00029495446493202403
ncbi_162289,0.0002808915762014586
ncbi_651554,0.0002804900646786263
ncbi_702,0.0002482188957891034
ncbi_613,0.0002419157495611306
ncbi_963,0.0002307437770623356
ncbi_1253,0.00022467329547028227
ncbi_2172,0.00022093171945403089
ncbi_2740,0.000206472409602209
ncbi_150022,0.00019754561278024038
ncbi_1279,0.00018450982247486604
ncbi_133925,0.00018193977966211899
ncbi_713,0.00014613286475896096
ncbi_86331,0.00014473888291040757
ncbi_286,0.0001435304169721675
ncbi_194,0.00012954569381730708
ncbi_131079,0.00012214306848869254
ncbi_165779,0.00010901358142837258
ncbi_174708,0.00010172712962899
ncbi_1827,9.885052978225339e-05
ncbi_265,9.578771144587904e-05
ncbi_156973,8.862436243685216e-05
ncbi_583,7.548015573962344e-05
ncbi_864,6.994215109850583e-05
ncbi_28231,6.98978561183558e-05
ncbi_83770,6.750871581069489e-05
ncbi_1298,6.695555027542403e-05
ncbi_172900,6.247102842793846e-05
ncbi_33870,5.982179571812843e-05
ncbi_674963,5.8498282829488556e-05
ncbi_46205,5.412540830778935e-05
ncbi_588605,5.391157327100079e-05
ncbi_2316,5.340049850107656e-05
ncbi_177971,4.064384055488146e-05
ncbi_48736,3.9183343419768074e-05
ncbi_171673,3.905558801793348e-05
ncbi_184869,3.2987688553428475e-05
ncbi_241189,3.2406748942812506e-05
ncbi_222991,3.0296311925405023e-05
ncbi_157,2.9577087301320725e-05
ncbi_141948,2.8888825415163484e-05
ncbi_265975,2.5427235768506815e-05
ncbi_34104,1.9571455381278624e-05
ncbi_586,1.9031884481229768e-05
ncbi_413496,1.658181530484104e-05
ncbi_299568,1.352014535473227e-05
ncbi_2050,4.594080142076392e-06
ncbi_437755,3.938885717232527e-06
ncbi_2753,0.0
