feature,mean_abs_shap
ncbi_1678,0.19001492548591037
ncbi_1263,0.1832283896427381
ncbi_1730,0.11980758213384617
ncbi_1301,0.08501926565289795
ncbi_292632,0.050649134932882124
ncbi_102106,0.04563398499710587
ncbi_838,0.045288511907211386
ncbi_561,0.04151522445645825
ncbi_239759,0.03328589155098042
ncbi_2172,0.033129563386311414
ncbi_375288,0.030788251174932925
ncbi_830,0.029071103263793162
ncbi_33042,0.02711084136812821
ncbi_1578,0.020524768117472284
ncbi_216851,0.019572662609913298
ncbi_572511,0.013987474712628036
ncbi_239934,0.009177352695821055
ncbi_1485,0.009081342515128947
ncbi_547,0.008347170162682415
ncbi_40544,0.007022260469590676
ncbi_189330,0.0034218832752621934
ncbi_186928,0.0027489098844434797
ncbi_397864,0.002559079312581311
ncbi_577309,0.002549857740200091
ncbi_207244,0.002332055720350433
ncbi_544,0.0020509958273418243
ncbi_33024,0.0012660973342473092
ncbi_906,0.000914588706221224
ncbi_544447,0.0008684130217165604
ncbi_84111,0.000612854804396657
ncbi_459786,0.000525322886717562
ncbi_39948,0.0004546336192701199
ncbi_135858,0.0003327451981870811
ncbi_904,0.00017156867597494823
ncbi_35832,7.78418741956754e-05
ncbi_570,0.0
ncbi_846,0.0
ncbi_872,0.0
ncbi_413496,0.0
ncbi_196081,0.0
ncbi_1253,0.0
ncbi_248744,0.0
ncbi_848,0.0
ncbi_970,0.0
ncbi_2701,0.0
ncbi_185291,0.0
ncbi_416916,0.0
ncbi_538,0.0
ncbi_1411023,0.0
ncbi_80841,0.0
ncbi_2305133,0.0
ncbi_1507525,0.0
ncbi_39779,0.0
ncbi_1283313,0.0
ncbi_580596,0.0
ncbi_674963,0.0
ncbi_1716,0.0
ncbi_29521,0.0
ncbi_48736,0.0
ncbi_568,0.0
ncbi_574697,0.0
ncbi_638847,0.0
ncbi_1279,0.0
ncbi_946234,0.0
ncbi_419014,0.0
ncbi_1654,0.0
ncbi_816,0.0
ncbi_841,0.0
ncbi_447020,0.0
ncbi_1357,0.0
ncbi_1243,0.0
ncbi_61170,0.0
ncbi_1350,0.0
ncbi_286,0.0
ncbi_32207,0.0
ncbi_283168,0.0
ncbi_100883,0.0
ncbi_244127,0.0
ncbi_29465,0.0
ncbi_1378,0.0
ncbi_644652,0.0
ncbi_543311,0.0
ncbi_117563,0.0
ncbi_724,0.0
ncbi_577310,0.0
ncbi_1348911,0.0
ncbi_1743,0.0
ncbi_133925,0.0
ncbi_1380,0.0
ncbi_191303,0.0
ncbi_1257,0.0
ncbi_84108,0.0
ncbi_158846,0.0
ncbi_52225,0.0
ncbi_2316,0.0
ncbi_1017280,0.0
ncbi_1951303,0.0
