feature,mean_abs_shap
ncbi_1730,0.3662921853766761
ncbi_1263,0.255417857446525
ncbi_572511,0.18708851441031146
ncbi_292632,0.1339429116330986
ncbi_838,0.13013030182449578
ncbi_1485,0.12653607172963696
ncbi_216851,0.10713935806157633
ncbi_816,0.09015773558611197
ncbi_239759,0.08012630489810352
ncbi_29465,0.07461309203474487
ncbi_1678,0.07231820107087471
ncbi_33042,0.0656315359012628
ncbi_1301,0.04985669653021504
ncbi_239934,0.0489942312400737
ncbi_561,0.0467239756221793
ncbi_186928,0.04343919350949176
ncbi_570,0.04280919221472728
ncbi_39948,0.03481827102430496
ncbi_1578,0.033631722422739
ncbi_841,0.03119396742113105
ncbi_904,0.029985588324356358
ncbi_102106,0.02881131134050065
ncbi_375288,0.021525535588559946
ncbi_2172,0.020514778332529883
ncbi_189330,0.02018700831396399
ncbi_158846,0.01637313459718247
ncbi_848,0.015674453812093512
ncbi_459786,0.00914506472681409
ncbi_283168,0.006638405685601888
ncbi_40544,0.006102202267851198
ncbi_1350,0.0056195996206908445
ncbi_35832,0.0055729067359160216
ncbi_100883,0.004325082398844937
ncbi_397864,0.004051683343029369
ncbi_583,0.0030090432428196696
ncbi_84111,0.0029318393929370257
ncbi_577309,0.0024436782258117824
ncbi_906,0.002234036371103708
ncbi_544447,0.001737092112691505
ncbi_581,0.0011234953762055224
ncbi_207244,0.0010805243532075281
ncbi_33024,0.0010041801864003111
ncbi_638847,0.0008780371367910655
ncbi_1253,0.0006626912859174501
ncbi_547,0.0005752120659874845
ncbi_1507525,0.00046348540659670506
ncbi_185291,0.0003920391304151751
ncbi_1411023,0.0003697633207440908
ncbi_180162,0.00035017459612910563
ncbi_724,0.0003292596636906388
ncbi_80841,0.00021477177440738522
ncbi_577310,0.00016288640650363644
ncbi_135858,0.00014591701102788677
ncbi_830,0.00011206514558106836
ncbi_333046,9.09246344566423e-05
ncbi_2305133,5.664657690706746e-05
ncbi_200630,4.786318695322451e-05
ncbi_433334,2.6513242451688292e-05
ncbi_447020,2.5307506794312547e-05
ncbi_544,2.5048712379714993e-05
ncbi_1257,1.8922481327794346e-06
ncbi_1284678,0.0
ncbi_123375,0.0
ncbi_698776,0.0
ncbi_568,0.0
ncbi_1716,0.0
ncbi_76833,0.0
ncbi_165779,0.0
ncbi_40323,0.0
ncbi_416916,0.0
ncbi_1164882,0.0
ncbi_46123,0.0
ncbi_1243,0.0
ncbi_620,0.0
ncbi_150022,0.0
ncbi_413496,0.0
ncbi_160674,0.0
ncbi_2753,0.0
ncbi_586,0.0
ncbi_33057,0.0
ncbi_52225,0.0
ncbi_162289,0.0
ncbi_98519,0.0
ncbi_286,0.0
ncbi_970,0.0
ncbi_186813,0.0
ncbi_482,0.0
ncbi_552397,0.0
ncbi_702,0.0
ncbi_119065,0.0
ncbi_84113,0.0
ncbi_133925,0.0
ncbi_872,0.0
ncbi_264995,0.0
ncbi_644652,0.0
ncbi_1348911,0.0
ncbi_196081,0.0
ncbi_1017280,0.0
ncbi_836,0.0
ncbi_1743,0.0
ncbi_185283,0.0
ncbi_32207,0.0
ncbi_191303,0.0
ncbi_61170,0.0
ncbi_189971,0.0
ncbi_244127,0.0
ncbi_713,0.0
ncbi_580596,0.0
ncbi_946234,0.0
ncbi_39779,0.0
ncbi_846,0.0
ncbi_46255,0.0
ncbi_156973,0.0
ncbi_1279,0.0
ncbi_543311,0.0
ncbi_538,0.0
ncbi_1895827,0.0
ncbi_1378,0.0
ncbi_84108,0.0
ncbi_1380,0.0
ncbi_574697,0.0
ncbi_1951303,0.0
ncbi_1283313,0.0
ncbi_156454,0.0
ncbi_1357,0.0
ncbi_1654,0.0
ncbi_117563,0.0
ncbi_194,0.0
ncbi_2316,0.0
