feature,mean_abs_shap
ncbi_1263,0.053745421730246
ncbi_1730,0.05097437270653202
ncbi_189330,0.03235788416895048
ncbi_216851,0.028485913472829447
ncbi_841,0.025898871820323844
ncbi_239759,0.025513517667040818
ncbi_292632,0.02102148167156997
ncbi_33042,0.019700627469553502
ncbi_447020,0.01888054514657107
ncbi_102106,0.016443211481802476
ncbi_100883,0.014757718278837388
ncbi_35832,0.013093582404521516
ncbi_239934,0.011914812438401234
ncbi_1678,0.011682012749487816
ncbi_375288,0.010798200944883474
ncbi_29465,0.010366391366754742
ncbi_1485,0.009920623400962088
ncbi_544447,0.009320201547489847
ncbi_946234,0.008572259542641548
ncbi_39779,0.007841000728964846
ncbi_186928,0.007497891495587514
ncbi_572511,0.006716177487068671
ncbi_397864,0.006087657350606663
ncbi_459786,0.006034485091042739
ncbi_816,0.005801429753975212
ncbi_61170,0.00580107953850361
ncbi_433334,0.005662820175831582
ncbi_200630,0.0055590127619290775
ncbi_84111,0.005359892265305534
ncbi_644652,0.0052785307089874495
ncbi_333046,0.0051060818823874185
ncbi_39948,0.004786318591227278
ncbi_838,0.004692946452848788
ncbi_1301,0.004677390501823496
ncbi_244127,0.0039017067161636874
ncbi_1411023,0.0038435534523154837
ncbi_2172,0.003817050305524457
ncbi_207244,0.0032793359200252777
ncbi_561,0.0030566176635142186
ncbi_724,0.002996581732626032
ncbi_80841,0.002882325680080136
ncbi_117563,0.0028263410114338565
ncbi_1350,0.002686016784730837
ncbi_1378,0.002591991141076535
ncbi_904,0.002577746498338854
ncbi_283168,0.0024091074612769495
ncbi_185291,0.0023304692315304952
ncbi_577310,0.0022316648945795844
ncbi_189971,0.0022171769981812446
ncbi_570,0.0021736390010813366
ncbi_2305133,0.002037231603684881
ncbi_158846,0.0018371924358448468
ncbi_1578,0.001766098584670704
ncbi_906,0.001705807636949721
ncbi_848,0.0016142296031495778
ncbi_1253,0.0015716392363202057
ncbi_872,0.0014979524634834735
ncbi_119065,0.001440959192353329
ncbi_40544,0.0013642729176550062
ncbi_1507525,0.0013580732806006595
ncbi_846,0.0013443381042740482
ncbi_32207,0.0012285914431518434
ncbi_1654,0.0012071072604868344
ncbi_577309,0.0011929158641307872
ncbi_196081,0.0011498123831314233
ncbi_1017280,0.0011372177137911508
ncbi_186813,0.0010658254557182388
ncbi_1357,0.0010435242231188935
ncbi_84108,0.0009286709663139164
ncbi_264995,0.0007933791360345893
ncbi_580596,0.0007867307273660825
ncbi_1348911,0.0007268780273951165
ncbi_123375,0.0007106760993214957
ncbi_84113,0.000696489033956897
ncbi_836,0.0006709346342434031
ncbi_547,0.0006663182705620532
ncbi_543311,0.0005859861755584566
ncbi_1284678,0.0005778858176982037
ncbi_1743,0.0005114534888020075
ncbi_191303,0.0005061323853018284
ncbi_1243,0.0004916567669873875
ncbi_135858,0.00048725353856814233
ncbi_1951303,0.0004746248767953127
ncbi_1257,0.00037140771046191394
ncbi_156454,0.0003491005292005977
ncbi_1380,0.0003377383011855152
ncbi_33024,0.0003268827208983951
ncbi_1283313,0.00030925291280188517
ncbi_574697,0.00029179403808625806
ncbi_185283,0.00028201479348302655
ncbi_194,0.00026688025493371725
ncbi_46255,0.0002523922537310427
ncbi_52225,0.0002305541563350343
ncbi_544,0.00022275095440635098
ncbi_133925,0.00021550387700148234
ncbi_713,0.000206202535878267
ncbi_1895827,0.00018171482857305847
ncbi_830,0.00018158685084563895
ncbi_583,0.00017405111022880868
ncbi_552397,0.00017136692102810052
ncbi_165779,0.00017045689153289892
ncbi_1716,0.00016033812285695418
ncbi_638847,0.00015414473381117233
ncbi_150022,0.00013826554497348427
ncbi_568,0.000130940802053515
ncbi_46123,0.00012642876182107502
ncbi_162289,0.00012622507405259467
ncbi_98519,0.0001052190566224706
ncbi_416916,9.891678361551459e-05
ncbi_156973,7.800721025514576e-05
ncbi_581,7.379820674521108e-05
ncbi_286,7.262305560332084e-05
ncbi_1279,5.498586869185121e-05
ncbi_620,4.965029396961897e-05
ncbi_180162,3.278462724263261e-05
ncbi_413496,2.0967731179291973e-05
ncbi_160674,1.6152250980279667e-05
ncbi_40323,1.0446090358671252e-05
ncbi_702,9.997312205806297e-06
ncbi_2753,8.780514667754753e-06
ncbi_482,6.570683257726464e-06
ncbi_538,3.102616775384543e-06
ncbi_586,2.860265777027715e-06
ncbi_76833,0.0
ncbi_970,0.0
ncbi_698776,0.0
ncbi_33057,0.0
ncbi_1164882,0.0
ncbi_2316,0.0
