feature,mean_abs_shap
ncbi_836,0.6094341676666782
ncbi_1730,0.32712064541923896
ncbi_1678,0.24264766711318783
ncbi_543311,0.23666941339143954
ncbi_189330,0.20808641565977667
ncbi_1257,0.2038019950892793
ncbi_216851,0.20148727862188695
ncbi_1263,0.19275543264785244
ncbi_816,0.1739056992262787
ncbi_239759,0.1496038973161291
ncbi_283168,0.13702747967211817
ncbi_572511,0.13073549102275656
ncbi_100883,0.12118539353835422
ncbi_102106,0.10498436700369643
ncbi_577309,0.094440602872928
ncbi_447020,0.08716701424289547
ncbi_40544,0.08509580665823796
ncbi_2172,0.08403197687883983
ncbi_186928,0.0796676845721662
ncbi_84111,0.07916517125727224
ncbi_1301,0.0714913211450349
ncbi_561,0.07040546828922978
ncbi_239934,0.07034324512114426
ncbi_207244,0.06573477059167263
ncbi_904,0.061030172214711347
ncbi_292632,0.06006404835557326
ncbi_29465,0.05984410325804789
ncbi_906,0.054186817846283264
ncbi_33024,0.05181603536160951
ncbi_724,0.050828223943051164
ncbi_158846,0.049704488473955644
ncbi_1485,0.049193436001285444
ncbi_459786,0.04914230814540846
ncbi_544447,0.04887836309958646
ncbi_830,0.04575845878399119
ncbi_33042,0.04326836541950555
ncbi_838,0.04162168974840714
ncbi_244127,0.0407823932371031
ncbi_1283313,0.04064822471485621
ncbi_39948,0.039274946278180074
ncbi_1378,0.03811254956073384
ncbi_1350,0.037294342092714546
ncbi_872,0.03725316015728331
ncbi_35832,0.037201575839138364
ncbi_397864,0.03685500717734551
ncbi_375288,0.035890103701612774
ncbi_185291,0.03331758279523757
ncbi_570,0.029608499783599303
ncbi_581,0.028793277787172968
ncbi_848,0.027332021701538877
ncbi_577310,0.025690195464024127
ncbi_135858,0.02501135826881725
ncbi_544,0.024567026758559225
ncbi_841,0.024336063186650516
ncbi_123375,0.0236603464852943
ncbi_1578,0.022456592096935825
ncbi_547,0.022003023571503796
ncbi_1357,0.018052394005976195
ncbi_52225,0.01545978402810106
ncbi_1654,0.01536563807398689
ncbi_1411023,0.014928111217184365
ncbi_1348911,0.0135439357279783
ncbi_644652,0.011398692954635106
ncbi_39779,0.00997982771814709
ncbi_191303,0.009887033270737733
ncbi_946234,0.008985838979200281
ncbi_846,0.008478939672895442
ncbi_580596,0.007752889303024216
ncbi_2753,0.007218623452298382
ncbi_84108,0.006530189989531108
ncbi_1507525,0.006355751264723407
ncbi_194,0.005370592052656785
ncbi_61170,0.0046870350140357665
ncbi_80841,0.004216443091430029
ncbi_286,0.0035787986563222364
ncbi_1380,0.003455286606069998
ncbi_1743,0.002912331609926113
ncbi_32207,0.0029075567382886294
ncbi_638847,0.0027884058842162184
ncbi_2305133,0.0025492382574700376
ncbi_156454,0.002484456966906461
ncbi_117563,0.0024289800155184458
ncbi_2316,0.0022472949842492693
ncbi_84113,0.001744926700780399
ncbi_674963,0.0012496787336698635
ncbi_1951303,0.0008207029409341089
ncbi_180162,0.0008018115707986072
ncbi_44259,0.0007279109403077713
ncbi_160674,0.0005366909575398773
ncbi_209,0.00047384587441158386
ncbi_1017280,0.00046557003451532994
ncbi_165779,0.0004443741173308166
ncbi_1243,0.0003631672567684859
ncbi_86331,0.00036312674765419926
ncbi_162289,0.00027524562769640985
ncbi_433334,0.00026481112020145805
ncbi_538,0.0002424480801836467
ncbi_133925,0.00023167051840535045
ncbi_264995,0.0002089329881202715
ncbi_1284678,0.00019138678554077033
ncbi_642,0.0001673426263946192
ncbi_419014,0.00015236271804330793
ncbi_583,0.00012578434383313158
ncbi_1279,0.00011720751237799073
ncbi_1716,8.897979452849244e-05
ncbi_196081,8.702104392055998e-05
ncbi_970,8.115910540173325e-05
ncbi_157,7.289009265671292e-05
ncbi_1253,6.81908520480789e-05
ncbi_46123,6.484993069669704e-05
ncbi_620,6.181652791132035e-05
ncbi_189971,5.8628513696078576e-05
ncbi_32067,5.3056403909318204e-05
ncbi_150022,3.542672630952566e-05
ncbi_1434006,3.271511653418686e-05
ncbi_416916,3.265759540411379e-05
ncbi_196082,2.9624703815648384e-05
ncbi_156973,2.2707967677797418e-05
ncbi_2160,1.989419367247278e-05
ncbi_36866,1.9639199257279895e-05
ncbi_29521,1.6432808347635588e-05
ncbi_413496,1.5057210312504782e-05
ncbi_713,1.4628169177555064e-05
ncbi_1895827,1.453112924552314e-05
ncbi_265975,1.4471698250874339e-05
ncbi_248744,6.1487009642551236e-06
ncbi_568,6.146877821109579e-06
ncbi_46255,4.239360921276089e-06
ncbi_1279384,2.979734151236309e-06
ncbi_1696,1.8189638451890142e-06
ncbi_184869,1.5476166280068878e-06
ncbi_118747,7.372871829771558e-07
ncbi_177971,6.463609341885447e-07
ncbi_1334011,6.218386604282815e-07
ncbi_698776,5.170425274301984e-07
ncbi_2701,3.5463119041845166e-07
ncbi_43996,0.0
ncbi_200630,0.0
ncbi_400634,0.0
ncbi_207769,0.0
