feature,mean_abs_shap
ncbi_543311,0.057696884283949
ncbi_1257,0.04986421778369673
ncbi_848,0.03761612077265093
ncbi_836,0.023754810289766583
ncbi_123375,0.022213751546078114
ncbi_244127,0.01790230853201821
ncbi_1730,0.015522410658375424
ncbi_838,0.01417673524057618
ncbi_1378,0.011009023766644558
ncbi_561,0.010595610890065875
ncbi_35832,0.01022509887879986
ncbi_946234,0.009546623070991828
ncbi_1485,0.009156474215310205
ncbi_1678,0.008703707638050378
ncbi_1017280,0.007675445543972272
ncbi_459786,0.007568329734910957
ncbi_239759,0.007347458695593024
ncbi_644652,0.007338356796925397
ncbi_1380,0.0073208699442886315
ncbi_1301,0.007306228548053277
ncbi_572511,0.0072902767272343995
ncbi_216851,0.006137435385113573
ncbi_207244,0.005956516963618188
ncbi_283168,0.005568235433336074
ncbi_61170,0.005483217223391779
ncbi_375288,0.005331803695604302
ncbi_841,0.005162886627995939
ncbi_2172,0.005069534021899111
ncbi_816,0.004665457349569672
ncbi_1284678,0.004659836233816012
ncbi_447020,0.004605181457322121
ncbi_165779,0.004109351597710865
ncbi_239934,0.004075238044296141
ncbi_33042,0.004014630921061468
ncbi_1263,0.003926318002651532
ncbi_1654,0.003924915022920703
ncbi_872,0.003691099327068149
ncbi_724,0.003688315410395788
ncbi_292632,0.003592478031091423
ncbi_189330,0.0035701831677390724
ncbi_29465,0.0033411770622231557
ncbi_904,0.0030763126137453665
ncbi_577310,0.0028134248557618777
ncbi_84111,0.0026914739924030536
ncbi_102106,0.0025810619830770242
ncbi_397864,0.002580819094481586
ncbi_39948,0.0022509746283539255
ncbi_117563,0.002120864711478976
ncbi_32207,0.002108476542248181
ncbi_1578,0.0020758797916302666
ncbi_100883,0.002044586765034018
ncbi_80841,0.002019889834655779
ncbi_186928,0.0019279677435192501
ncbi_577309,0.001804889239541055
ncbi_830,0.0017483566754882092
ncbi_1357,0.0016351950557593193
ncbi_1350,0.0016024991108587942
ncbi_286,0.001570490312304043
ncbi_2305133,0.0015221622250451232
ncbi_906,0.0015172715799936275
ncbi_40544,0.0014853984942510782
ncbi_544447,0.00146052031915801
ncbi_570,0.0013935553731784206
ncbi_1348911,0.0013785115197910494
ncbi_133925,0.0013382187142371267
ncbi_194,0.001307406706365129
ncbi_1411023,0.0012882338082480982
ncbi_846,0.0012769302773450043
ncbi_39779,0.0011617832327161595
ncbi_135858,0.0011613961736751366
ncbi_191303,0.001160968289779698
ncbi_547,0.0011265467974892833
ncbi_196081,0.0011216640019972358
ncbi_185291,0.0010897273301052003
ncbi_33024,0.0010802661753668292
ncbi_1716,0.0010206564238111802
ncbi_1283313,0.000913509724883135
ncbi_1507525,0.0007944964232775037
ncbi_46123,0.0007758403109988534
ncbi_538,0.0007704752990981153
ncbi_158846,0.0007610375273992208
ncbi_416916,0.0007193662091815377
ncbi_1243,0.0006948564240274009
ncbi_419014,0.0006710834744893051
ncbi_580596,0.0006346430142839365
ncbi_581,0.000594797207873425
ncbi_265975,0.0005906486334155083
ncbi_189971,0.0005758098557800141
ncbi_196082,0.0005585267994331868
ncbi_1895827,0.0005481595818992312
ncbi_620,0.0005400094759329317
ncbi_583,0.0005390527544990756
ncbi_32067,0.0005290547630752018
ncbi_52225,0.0005212640799854586
ncbi_544,0.0005210677703093955
ncbi_2316,0.0004607542633733508
ncbi_264995,0.00044606504672337977
ncbi_713,0.0004415902461255133
ncbi_84108,0.00042346369539783806
ncbi_118747,0.00040674313537035175
ncbi_1743,0.0003745207723073019
ncbi_162289,0.0003175515315902272
ncbi_2753,0.0002854439163534851
ncbi_638847,0.0002621567978300608
ncbi_1951303,0.000257124063743905
ncbi_1253,0.00024856237176004606
ncbi_84113,0.00021951033588136972
ncbi_29521,0.00021027161344196378
ncbi_970,0.00019381843396755894
ncbi_2701,0.00019149025792068738
ncbi_46255,0.00019105174045958213
ncbi_642,0.00018417147256311717
ncbi_160674,0.00017802719683453268
ncbi_1279,0.00017533226058627515
ncbi_156973,0.0001687317189749681
ncbi_150022,0.00016512357043262785
ncbi_674963,0.00014117030462998718
ncbi_1334011,0.00012287133098471997
ncbi_248744,0.00012119778131925181
ncbi_86331,0.00010897337895507716
ncbi_44259,9.007113803169188e-05
ncbi_209,8.444114987911594e-05
ncbi_1696,8.070967360993494e-05
ncbi_568,7.313394471374562e-05
ncbi_156454,6.323620269395224e-05
ncbi_36866,4.585908616255096e-05
ncbi_180162,4.5188769789355166e-05
ncbi_157,3.7798215813400767e-05
ncbi_2160,3.1934140997355884e-05
ncbi_413496,3.0415245904267488e-05
ncbi_1279384,2.8602056191422105e-05
ncbi_184869,2.7458824155684426e-05
ncbi_177971,1.6336666268260128e-05
ncbi_433334,1.4925154202175379e-05
ncbi_1434006,1.4267461789393282e-05
ncbi_200630,0.0
ncbi_698776,0.0
ncbi_400634,0.0
ncbi_43996,0.0
ncbi_207769,0.0
