feature,mean_abs_shap
ncbi_816,0.20835747226708212
ncbi_119852,0.11702808228173689
ncbi_216851,0.09909248930336359
ncbi_204475,0.07912059095497606
ncbi_292632,0.048761039345583505
ncbi_28050,0.043480644780345405
ncbi_1263,0.03375660741209808
ncbi_841,0.03262579179881645
ncbi_838,0.029083214027861196
ncbi_33042,0.025898975459187568
ncbi_375288,0.025295000719374253
ncbi_572511,0.022853347309346763
ncbi_33024,0.019654280962578218
ncbi_239934,0.019453118618504402
ncbi_904,0.018219507478653817
ncbi_102106,0.017935808010644542
ncbi_29465,0.01768769802321448
ncbi_39948,0.01615227159241817
ncbi_1485,0.012790038455809132
ncbi_189330,0.01212538613514876
ncbi_1766253,0.011785383675648364
ncbi_1301,0.00837934106963842
ncbi_580596,0.0077719403912723615
ncbi_40544,0.007187601607850778
ncbi_158846,0.0065546835350876334
ncbi_1578,0.0060019342399546035
ncbi_397864,0.005796957363182999
ncbi_239759,0.005056346558563813
ncbi_1573535,0.004106939657345019
ncbi_83770,0.0028251771255865445
ncbi_207244,0.00275752575673988
ncbi_447020,0.002573403544222017
ncbi_2086,0.002444405470627458
ncbi_2039302,0.0023401965950060185
ncbi_35832,0.002043994106163059
ncbi_577310,0.00193105072507591
ncbi_1678,0.0017816558159365929
ncbi_906,0.00158831330590584
ncbi_946234,0.0015006705282282402
ncbi_1774107,0.0011026503850518146
ncbi_872,0.0009596900907859271
ncbi_1505663,0.0008634505200404943
ncbi_848,0.0007447113553665767
ncbi_209879,0.00048326255308157905
ncbi_1505657,0.0004670325252549343
ncbi_2740,0.00029208274161907885
ncbi_135858,0.0002745732744908886
ncbi_283168,0.000268122002716172
ncbi_40840,0.00018903728781663966
ncbi_140625,0.00018387602211306537
ncbi_1407607,0.00010610573400459311
ncbi_1350,5.456008012227861e-05
ncbi_1573534,7.323490727639166e-06
ncbi_117563,2.0140289886860368e-06
ncbi_459786,0.0
ncbi_638847,0.0
ncbi_244127,0.0
ncbi_2701,0.0
ncbi_2152,0.0
ncbi_713,0.0
ncbi_570,0.0
ncbi_469,0.0
ncbi_1348911,0.0
ncbi_1918511,0.0
ncbi_100883,0.0
ncbi_172900,0.0
ncbi_1392389,0.0
ncbi_1926663,0.0
ncbi_416916,0.0
ncbi_482,0.0
ncbi_404402,0.0
ncbi_168808,0.0
ncbi_596767,0.0
ncbi_724,0.0
ncbi_1940255,0.0
ncbi_52225,0.0
ncbi_1506577,0.0
ncbi_123375,0.0
ncbi_577309,0.0
ncbi_547,0.0
ncbi_1743,0.0
ncbi_1386,0.0
ncbi_191303,0.0
ncbi_1980693,0.0
ncbi_84108,0.0
ncbi_84111,0.0
ncbi_1506553,0.0
ncbi_1283313,0.0
ncbi_1473205,0.0
ncbi_580024,0.0
ncbi_86331,0.0
ncbi_644652,0.0
ncbi_46255,0.0
ncbi_1649459,0.0
ncbi_1980681,0.0
ncbi_1769710,0.0
ncbi_574697,0.0
ncbi_1378,0.0
ncbi_2172,0.0
