feature,mean_abs_shap
ncbi_816,0.4110517947775782
ncbi_561,0.21591222132277002
ncbi_1678,0.20793930176874104
ncbi_577309,0.1907452481906641
ncbi_838,0.1892847189464814
ncbi_1730,0.1678573209354675
ncbi_158846,0.1432930725113822
ncbi_33042,0.14309300300401
ncbi_216851,0.1226802656554677
ncbi_39948,0.10793128938781085
ncbi_1263,0.10534576141205144
ncbi_292632,0.09953159115792845
ncbi_35832,0.09213247558190615
ncbi_33024,0.08891781565813146
ncbi_841,0.08667365521172546
ncbi_186928,0.08467530856922988
ncbi_102106,0.08045659211095994
ncbi_189330,0.0795039539954996
ncbi_239934,0.07612821703430299
ncbi_1301,0.07560385083709477
ncbi_40544,0.06830624495808461
ncbi_29465,0.06283303733130251
ncbi_570,0.056807982393083635
ncbi_904,0.053628396771742456
ncbi_1485,0.049310450844294605
ncbi_135858,0.04925076136982296
ncbi_397864,0.04568160587934683
ncbi_906,0.04559514560218983
ncbi_283168,0.04415801198491282
ncbi_459786,0.0433133355079599
ncbi_84111,0.040713500586051415
ncbi_375288,0.03998549965931547
ncbi_724,0.03869174826703823
ncbi_239759,0.03851982511784284
ncbi_830,0.031201486175908212
ncbi_547,0.030318488732825756
ncbi_544,0.029881773236953357
ncbi_2172,0.028679726746469836
ncbi_572511,0.028499390525500993
ncbi_1578,0.024899582066650633
ncbi_848,0.014815715594563478
ncbi_1350,0.01328696670978607
ncbi_100883,0.012255933982945997
ncbi_207244,0.009647605349087847
ncbi_447020,0.0069776713488209074
ncbi_1348911,0.006322546749132882
ncbi_52225,0.006208566580780671
ncbi_644652,0.006015216068635921
ncbi_577310,0.005772292754588609
ncbi_872,0.005460285711176809
ncbi_333046,0.005036587274131266
ncbi_84108,0.003909595108644878
ncbi_946234,0.003704832827661865
ncbi_46255,0.0035847732593667233
ncbi_244127,0.003346346758349911
ncbi_61170,0.002958746251032841
ncbi_1253,0.0018264490338886878
ncbi_200630,0.001570209365562964
ncbi_1357,0.001179607922297849
ncbi_552397,0.0010078189272701415
ncbi_186813,0.0009058822127730774
ncbi_1507525,0.0008715429542372388
ncbi_119065,0.00042822675484399474
ncbi_580596,0.00031431698602331175
ncbi_433334,0.00025426220852066086
ncbi_583,0.0002444571121589225
ncbi_1243,0.000127815688114645
ncbi_620,9.404152403554009e-05
ncbi_1654,8.953318344165051e-05
ncbi_191303,8.63837693578115e-05
ncbi_846,8.078331443227659e-05
ncbi_642,7.679478065817318e-05
ncbi_586,7.2598268548606e-05
ncbi_2745,5.0921062257877804e-05
ncbi_469,4.7240806612193205e-05
ncbi_1951303,4.4376734619665924e-05
ncbi_638847,3.827844903097634e-05
ncbi_1279,1.894946000399955e-05
ncbi_123375,1.433878919752908e-05
ncbi_2316,1.3142000487421746e-05
ncbi_264995,1.30839158953381e-05
ncbi_162289,1.276077985940362e-05
ncbi_836,9.940010487104183e-06
ncbi_286,7.745680960759981e-06
ncbi_165779,5.6595025441896495e-06
ncbi_1386,4.639145136113981e-06
ncbi_581,4.512348674688501e-06
ncbi_574697,4.160964646387227e-06
ncbi_1743,3.943892387877091e-06
ncbi_194,3.924050722068792e-06
ncbi_117563,3.273108964349395e-06
ncbi_212791,2.6402298231125622e-06
ncbi_185283,2.162805346505904e-06
ncbi_1257,1.8498879587193465e-06
ncbi_2701,1.1449211117275033e-06
ncbi_180162,2.4659190604763906e-07
ncbi_76833,0.0
ncbi_189971,0.0
ncbi_674963,0.0
ncbi_32207,0.0
ncbi_160674,0.0
ncbi_1378,0.0
ncbi_1434006,0.0
ncbi_84113,0.0
