feature,mean_abs_shap
ncbi_946234,0.02295884593433682
ncbi_84111,0.022102066083790048
ncbi_544,0.015623720242524316
ncbi_561,0.014188112367759081
ncbi_816,0.013929980653263958
ncbi_186928,0.013658491775896104
ncbi_123375,0.013332941568525786
ncbi_216851,0.012969343513985923
ncbi_572511,0.012921044973760626
ncbi_577310,0.012791434876754668
ncbi_207244,0.011914181760209416
ncbi_644652,0.011574904987628663
ncbi_838,0.01113719951090777
ncbi_459786,0.010977396075008295
ncbi_283168,0.010792864002924158
ncbi_239934,0.010406625683688888
ncbi_102106,0.009885137509354406
ncbi_375288,0.00974783226912715
ncbi_29465,0.00943475545284103
ncbi_189330,0.00938660890945917
ncbi_1578,0.00910676015589992
ncbi_570,0.008126910111828532
ncbi_1263,0.007853738762900525
ncbi_1301,0.007749928870996634
ncbi_577309,0.007651676283951818
ncbi_39948,0.00742088821304379
ncbi_841,0.007214545507956441
ncbi_724,0.007124235666159095
ncbi_33042,0.0069962944725792155
ncbi_35832,0.0068745485397746576
ncbi_61170,0.006408254149465635
ncbi_1730,0.006388222931387597
ncbi_547,0.005982295450723899
ncbi_239759,0.00598102966557624
ncbi_904,0.005943631361172153
ncbi_1678,0.0058979651852053205
ncbi_1485,0.0057717636972342175
ncbi_158846,0.005559126393677496
ncbi_244127,0.005449297180894695
ncbi_292632,0.00521649843503828
ncbi_447020,0.005117552425044698
ncbi_397864,0.004168820783366184
ncbi_846,0.004053798697613959
ncbi_117563,0.0036910906980886656
ncbi_286,0.0035538759141606965
ncbi_1654,0.003507611255049475
ncbi_46255,0.0034709805824984495
ncbi_100883,0.0033991979894955004
ncbi_2172,0.002581934673818098
ncbi_32207,0.002539802650167317
ncbi_1378,0.002537568752446126
ncbi_33024,0.002503523624793971
ncbi_830,0.002485329094794575
ncbi_1348911,0.002480148246956082
ncbi_1243,0.002263007986441064
ncbi_848,0.002094618428321547
ncbi_52225,0.0020502199330944874
ncbi_872,0.0017941949617462742
ncbi_1350,0.001792191593487531
ncbi_638847,0.0016954195521272774
ncbi_40544,0.0016767304112473504
ncbi_1357,0.0016129940535091183
ncbi_191303,0.0015692248434794175
ncbi_906,0.0015587634226579808
ncbi_1257,0.0015486487062619486
ncbi_194,0.0012068728345023315
ncbi_333046,0.001159386790259632
ncbi_264995,0.0011529865392837073
ncbi_836,0.0010550604196038413
ncbi_119065,0.0009941097771807334
ncbi_84108,0.0009558642503842907
ncbi_469,0.0009430899044423562
ncbi_200630,0.0009039344554435124
ncbi_433334,0.0008665872762440461
ncbi_135858,0.0008506273386796887
ncbi_574697,0.0007328144152156748
ncbi_2701,0.0004645085388567787
ncbi_1253,0.00041581943986212984
ncbi_580596,0.00040065332555012397
ncbi_160674,0.0003625538683636541
ncbi_552397,0.00032065516671852217
ncbi_620,0.0003080133126104353
ncbi_1743,0.000286214083910207
ncbi_162289,0.0002169371098111702
ncbi_1507525,0.00015829783785816363
ncbi_2745,0.0001580438718599491
ncbi_165779,0.00015399666811751286
ncbi_189971,0.0001484644134506191
ncbi_84113,0.0001462614060295099
ncbi_1279,0.0001318469104370501
ncbi_2316,0.00012723198434386965
ncbi_186813,0.00010559969143457671
ncbi_1951303,0.00010221820696950279
ncbi_1386,8.05223712996997e-05
ncbi_185283,7.257078056425226e-05
ncbi_180162,6.988248324199802e-05
ncbi_642,6.91102189917632e-05
ncbi_674963,4.791723654993247e-05
ncbi_586,2.253577226972884e-05
ncbi_581,1.932946439552313e-05
ncbi_583,1.790976712051966e-05
ncbi_212791,0.0
ncbi_1434006,0.0
ncbi_76833,0.0
