feature,mean_abs_shap
ncbi_572511,2.311222135785223
ncbi_816,1.3647065996280232
ncbi_838,1.1012224372981974
ncbi_204475,0.7955413943546145
ncbi_841,0.6828559294654417
ncbi_40544,0.6472379746400194
ncbi_1263,0.41899855614810927
ncbi_239759,0.38332775379675466
ncbi_1678,0.3822335338621989
ncbi_904,0.3694581034480413
ncbi_102106,0.367281714677758
ncbi_216851,0.3667253962895145
ncbi_33042,0.3417689469051503
ncbi_1578,0.33067263847181033
ncbi_1506553,0.28858050548841585
ncbi_39948,0.24197989764867775
ncbi_1485,0.23345767784040966
ncbi_119852,0.20086414451818552
ncbi_135858,0.1888271001108256
ncbi_189330,0.18714710971116777
ncbi_2172,0.18415631336952504
ncbi_577309,0.16892706310763442
ncbi_239934,0.16008178336491738
ncbi_28050,0.15876896466165893
ncbi_1505663,0.1540820169134348
ncbi_1730,0.11550631949035757
ncbi_906,0.10564449880876933
ncbi_1301,0.09597695960461401
ncbi_375288,0.09455850641615672
ncbi_191303,0.07257428626377732
ncbi_459786,0.0724788762722817
ncbi_1505657,0.06821663519384968
ncbi_447020,0.06392904691749686
ncbi_52225,0.05463463896932678
ncbi_33024,0.0485637394942168
ncbi_283168,0.043861038307914275
ncbi_577310,0.03670338612405513
ncbi_84108,0.036305246577813706
ncbi_397864,0.036129427785684294
ncbi_1357,0.034220567289538144
ncbi_35832,0.030496635035761395
ncbi_2048137,0.02926360129109757
ncbi_848,0.028708051905163255
ncbi_1350,0.024804482567619086
ncbi_29465,0.023595090867638058
ncbi_100883,0.022517453884978837
ncbi_84111,0.02212497089306646
ncbi_574697,0.018414182689615317
ncbi_1573535,0.0172637670404176
ncbi_13334,0.01710137529556628
ncbi_158846,0.01542797430551395
ncbi_180162,0.015100210241894663
ncbi_1279388,0.01421059050773065
ncbi_207244,0.013820624341304672
ncbi_836,0.013781626860754417
ncbi_864,0.013443456901041448
ncbi_1257,0.01202267436233339
ncbi_872,0.01171182051696533
ncbi_140625,0.009902322289448585
ncbi_1508657,0.009065489561761154
ncbi_44748,0.0065916334692870705
ncbi_543311,0.004640351309617062
ncbi_1573534,0.004550100146033147
ncbi_580596,0.004166569590254464
ncbi_162289,0.002998923718700208
ncbi_724,0.0029845431189233452
ncbi_2147,0.0028950642927315974
ncbi_2039240,0.002891801812129802
ncbi_416916,0.0024534035501962066
ncbi_244127,0.0024157112591377313
ncbi_165779,0.002293906899326479
ncbi_830,0.0018786177037414702
ncbi_2316,0.0018488171620354662
ncbi_1654,0.0017522896541407504
ncbi_133925,0.0015604487861356799
ncbi_1506577,0.00121963323683731
ncbi_2740,0.000968172181539456
ncbi_118747,0.000803024534369476
ncbi_1243,0.000761055439913378
ncbi_1253,0.000726117432926675
ncbi_561,0.0006270283514803995
ncbi_1386,0.0004507289727877728
ncbi_61170,0.0004343869760668907
ncbi_1279,0.0004248517404974105
ncbi_1716,0.0002905876446374689
ncbi_172900,0.00021422805661744607
ncbi_150022,0.00016797261695716739
ncbi_713,0.00016247685965875287
ncbi_2132,0.00013595894591643222
ncbi_117563,0.00013595038914538906
ncbi_990721,0.00012474528482416466
ncbi_52784,0.0001246430473663249
ncbi_1378,0.00011640320633061606
ncbi_157,0.00010719246610043203
ncbi_264995,8.534986141406437e-05
ncbi_613,8.407920564637167e-05
ncbi_2057233,8.261387165925566e-05
ncbi_32207,7.057908597761686e-05
ncbi_1380,4.602411774715854e-05
ncbi_46255,4.1349575515093244e-05
ncbi_86331,4.077992751702473e-05
ncbi_2304692,3.660076813233592e-05
ncbi_644652,3.4054784799570765e-05
ncbi_423604,3.1905529936912156e-05
ncbi_1017280,3.1434594153624735e-05
ncbi_51514,3.081732550692302e-05
ncbi_83660,2.7685852820900365e-05
ncbi_846,2.7599577708437845e-05
ncbi_583,2.3425064997655157e-05
ncbi_184869,2.21179369343157e-05
ncbi_286,2.0896242393455457e-05
ncbi_1883,2.080250143690778e-05
ncbi_581,2.0626538570372807e-05
ncbi_442430,1.840325330048299e-05
ncbi_400634,1.2624343484133273e-05
ncbi_1291539,1.0186348928272288e-05
ncbi_40323,8.861961692380245e-06
ncbi_420345,8.636053138466465e-06
ncbi_33071,8.358321499170267e-06
ncbi_1573,7.666973542494237e-06
ncbi_2005359,6.07000135348067e-06
ncbi_100175,5.51984048694039e-06
ncbi_2050,5.372312383062502e-06
ncbi_570,5.122809578084087e-06
ncbi_638847,4.18354986433337e-06
ncbi_538,3.2059224879156172e-06
ncbi_174708,2.9810071411511796e-06
ncbi_698776,2.9664374837120335e-06
ncbi_292632,8.625491430593355e-07
ncbi_84162,6.888920371438087e-07
ncbi_590,3.9012307798477156e-07
ncbi_40840,2.2916584259319942e-07
ncbi_160795,5.723643516275645e-08
ncbi_194,4.2854463196024686e-08
ncbi_32067,1.8549246912621966e-09
ncbi_168808,0.0
ncbi_41273,0.0
