feature,mean_abs_shap
ncbi_204475,0.08165986907188487
ncbi_239934,0.0326231375673836
ncbi_1301,0.022595046988791303
ncbi_1263,0.02157105806299891
ncbi_375288,0.017516394207244455
ncbi_102106,0.011795794199297707
ncbi_447020,0.0115220378823333
ncbi_577310,0.01088353407399483
ncbi_207244,0.010224924488315818
ncbi_816,0.010175267944532424
ncbi_572511,0.00994991877874109
ncbi_1257,0.009696628705424634
ncbi_1506577,0.009630649100302001
ncbi_574697,0.009584410619911034
ncbi_35832,0.009570568779119186
ncbi_2172,0.00906259211121158
ncbi_84108,0.008491712735259999
ncbi_39948,0.008398139343470317
ncbi_239759,0.008314997951291259
ncbi_283168,0.008156282202905403
ncbi_841,0.007799533999720631
ncbi_216851,0.007288766327883736
ncbi_189330,0.007216123411548911
ncbi_40544,0.0069540002685909924
ncbi_872,0.006763285815847219
ncbi_119852,0.006670878236255711
ncbi_28050,0.005766412677617292
ncbi_2740,0.005569508003151955
ncbi_84111,0.005255739613749582
ncbi_838,0.005241506938835235
ncbi_33042,0.0051538709526192565
ncbi_1506553,0.005142071994258248
ncbi_2039240,0.00501287306680282
ncbi_191303,0.004906866314857825
ncbi_135858,0.004787870901034428
ncbi_2147,0.004315229149707626
ncbi_244127,0.004055341106855952
ncbi_1357,0.004050621391340761
ncbi_577309,0.003964181943503335
ncbi_397864,0.003950875801465524
ncbi_1485,0.003948298704278551
ncbi_904,0.003937987439140627
ncbi_2048137,0.0038624408611799685
ncbi_1578,0.0036643766878443
ncbi_1678,0.0036448256034691405
ncbi_13334,0.003503152129876526
ncbi_906,0.0034778887548227084
ncbi_1716,0.003399633310090555
ncbi_990721,0.003300922752277138
ncbi_162289,0.003275219595178881
ncbi_1279,0.003196012452008294
ncbi_264995,0.0031735724876388377
ncbi_51514,0.0031630116175823723
ncbi_61170,0.00291385438039851
ncbi_165779,0.002809084309727593
ncbi_29465,0.0027537148443723394
ncbi_1654,0.0026762240305128753
ncbi_140625,0.0026321246034704386
ncbi_543311,0.0026013091080281272
ncbi_118747,0.0024695540566934022
ncbi_33024,0.0024326510044959324
ncbi_580596,0.0023792119716619393
ncbi_1380,0.0022767599227605296
ncbi_830,0.0019822202185775213
ncbi_150022,0.0019740768096360014
ncbi_1883,0.001970882988593026
ncbi_570,0.0019259410385539081
ncbi_52225,0.0018894521275358673
ncbi_1243,0.0018235925334832597
ncbi_1730,0.0017175308950613418
ncbi_846,0.0014804747145745803
ncbi_1505663,0.001471556304698535
ncbi_100883,0.0012920475912039117
ncbi_172900,0.00116279652616008
ncbi_86331,0.0010573959431810288
ncbi_184869,0.0009877649885521114
ncbi_46255,0.0009582740027395112
ncbi_32207,0.000951669302912694
ncbi_1573535,0.0009381925967643672
ncbi_1350,0.000936913247860053
ncbi_286,0.0008397702132259911
ncbi_416916,0.000778772323075108
ncbi_864,0.0007127819833568766
ncbi_400634,0.0006971850877006573
ncbi_52784,0.0006741906176967296
ncbi_1508657,0.0006148290087498849
ncbi_561,0.0005444924433622262
ncbi_1253,0.0005443303884859556
ncbi_724,0.0005273196851555445
ncbi_1378,0.0005173637059127735
ncbi_1017280,0.0005147795503426748
ncbi_420345,0.0005142651968648049
ncbi_2132,0.00047872580609804844
ncbi_158846,0.00044265823511507516
ncbi_133925,0.00043080975969034117
ncbi_100175,0.0004224488340106935
ncbi_40840,0.0004021633450701824
ncbi_2316,0.00039474013769659813
ncbi_583,0.0003927045523982937
ncbi_117563,0.00038663698562297163
ncbi_2057233,0.0003792473918879762
ncbi_160795,0.00034955420099024937
ncbi_2050,0.0003158724430549543
ncbi_1573534,0.00026719999017260724
ncbi_848,0.0002481823976719143
ncbi_423604,0.0002418717594430608
ncbi_44748,0.00023089958526862673
ncbi_836,0.00022438467835123524
ncbi_83660,0.00022107851852140494
ncbi_1279388,0.00019186930521859947
ncbi_713,0.00019121242091478524
ncbi_1505657,0.00015974826186018363
ncbi_459786,0.00013249266451387134
ncbi_2005359,0.0001302794952090653
ncbi_638847,0.0001258727197122599
ncbi_644652,0.00010778794731297847
ncbi_1573,9.503496844946794e-05
ncbi_33071,9.431598965254455e-05
ncbi_581,9.217672138527696e-05
ncbi_194,9.134633727261995e-05
ncbi_41273,7.847634502639042e-05
ncbi_84162,7.67742379961578e-05
ncbi_1291539,6.412646688744298e-05
ncbi_442430,6.225263936370869e-05
ncbi_1386,5.5549989091192094e-05
ncbi_698776,5.464744764208597e-05
ncbi_292632,4.4608505902813345e-05
ncbi_157,4.2024168829446716e-05
ncbi_590,2.8606664122930356e-05
ncbi_180162,1.6702728757859824e-05
ncbi_32067,0.0
ncbi_40323,0.0
ncbi_2304692,0.0
ncbi_168808,0.0
ncbi_174708,0.0
ncbi_538,0.0
ncbi_613,0.0
