feature,mean_abs_shap
ncbi_1263,0.5282277862089306
ncbi_189330,0.35652589179494787
ncbi_239759,0.3081832547859993
ncbi_816,0.30648289225257186
ncbi_216851,0.29334691919131367
ncbi_1730,0.26558380488390676
ncbi_292632,0.2442908460188656
ncbi_33042,0.1917465930514549
ncbi_39948,0.1844492736380528
ncbi_1678,0.14409637078582815
ncbi_838,0.13519795061975537
ncbi_841,0.13036148004816916
ncbi_239934,0.12818760073440486
ncbi_1301,0.12396902065784891
ncbi_1485,0.10117542161778191
ncbi_2172,0.09054564548201607
ncbi_572511,0.08935693141632915
ncbi_29465,0.08763093656293201
ncbi_375288,0.06493513810029279
ncbi_186928,0.06282234552469929
ncbi_904,0.06054566184562853
ncbi_102106,0.05931446877823732
ncbi_570,0.04244415933932093
ncbi_397864,0.0380068487112883
ncbi_35832,0.037462986894784826
ncbi_561,0.035249147882600106
ncbi_1578,0.03315302735782824
ncbi_84111,0.025978973331740096
ncbi_577309,0.02367574745674655
ncbi_158846,0.022453238171146098
ncbi_459786,0.01865187336902339
ncbi_724,0.014489791631010598
ncbi_836,0.014334393231673941
ncbi_283168,0.01417775602083259
ncbi_33024,0.013836669770162404
ncbi_544447,0.012698692061479928
ncbi_906,0.011804898965252084
ncbi_40544,0.01022431593120173
ncbi_1411023,0.008450767029362902
ncbi_848,0.007690345558053306
ncbi_830,0.005334490057189535
ncbi_80841,0.00470309374881975
ncbi_207244,0.0038988893572235853
ncbi_2305133,0.003525152049490766
ncbi_135858,0.0034157831659391057
ncbi_547,0.0028977042914189424
ncbi_946234,0.0024587981572809807
ncbi_1253,0.0023193535142330282
ncbi_544,0.0022623428446588933
ncbi_447020,0.0019456118350489908
ncbi_185291,0.0018218294571816507
ncbi_333046,0.0011656928622458126
ncbi_644652,0.0008238523258561798
ncbi_433334,0.000794979862495974
ncbi_61170,0.000755055565245574
ncbi_1257,0.000740350125887031
ncbi_2316,0.0007271313599578075
ncbi_543311,0.0006565360472332244
ncbi_577310,0.0006504303339878233
ncbi_286,0.0005686271199828324
ncbi_872,0.0005075867747444809
ncbi_244127,0.0004827983089263781
ncbi_200630,0.0004772176683073505
ncbi_52225,0.00027590793324516825
ncbi_186813,0.0002141971966171088
ncbi_100883,0.00020657796623760232
ncbi_165779,0.00013826245082096695
ncbi_1507525,0.00013539023148585643
ncbi_162289,0.00012351458879648794
ncbi_191303,0.0001103375099323354
ncbi_119065,0.00010599557086510018
ncbi_1350,9.067253167061459e-05
ncbi_581,5.161815361803384e-05
ncbi_552397,5.133777908016663e-05
ncbi_416916,4.553685567458785e-05
ncbi_39779,2.1985191138061925e-05
ncbi_150022,8.888074256723975e-06
ncbi_84108,6.387581643657302e-06
ncbi_846,2.7413837700305274e-06
ncbi_583,1.8882879502937448e-06
ncbi_580596,1.3045625454205863e-06
ncbi_1378,1.0942231988111566e-06
ncbi_84113,0.0
ncbi_196082,0.0
ncbi_185283,0.0
ncbi_419014,0.0
ncbi_642,0.0
ncbi_76833,0.0
ncbi_133925,0.0
ncbi_1951303,0.0
ncbi_1654,0.0
ncbi_46255,0.0
ncbi_1243,0.0
ncbi_117563,0.0
ncbi_1743,0.0
ncbi_1017280,0.0
ncbi_264995,0.0
ncbi_1348911,0.0
ncbi_713,0.0
ncbi_1357,0.0
ncbi_1716,0.0
ncbi_32207,0.0
ncbi_123375,0.0
ncbi_189971,0.0
ncbi_194,0.0
ncbi_22,0.0
